eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/n_updates
1000.0,0.0,1000,,,,,,,,,,,,,,,
1000.0,0.0,2000,,,,,,,,,,,,,,,
,,2048,56.85294117647059,1,-1683717608645157376,0,0.8999999999999999,,,,,,,,,,
1000.0,0.3,3000,,,,,,0.03459066534123849,0.023111358,-0.06935021982062609,-0.0775613859295845,0.28994140625,-6.5287814632058145,-3.0105233192443848,0.0003,0.2,20
1000.0,0.3,4000,,,,,,,,,,,,,,,
,,4096,56.0,2,-1683717608645157120,0,0.9,,,,,,,,,,
1000.0,0.2,5000,,,,,,0.009546652577409987,0.1201604,-0.051725640796939844,-0.039595767855644226,0.518115234375,-6.4482843458652495,-0.08200836181640625,0.0003,0.2,40
1000.0,0.2,6000,,,,,,,,,,,,,,,
,,6144,51.71,3,-1683717608645157120,0,0.9000000000000005,,,,,,,,,,
1000.0,0.1,7000,,,,,,0.005695451834617416,0.20598543,-0.026361613100743853,-0.07453907281160355,0.617236328125,-6.425170995295048,0.49208658933639526,0.0003,0.2,60
1000.0,0.1,8000,,,,,,,,,,,,,,,
,,8192,45.77,4,-1683717608645156864,0,0.9000000000000005,,,,,,,,,,
1000.0,0.1,9000,,,,,,0.0028572176897796453,0.58640724,-0.028614479262614623,-0.03842881694436073,0.74091796875,-6.337778042256832,0.4960595369338989,0.0003,0.2,80
1000.0,0.1,10000,,,,,,,,,,,,,,,
,,10240,38.89,5,-1683717608645156864,0,0.9000000000000005,,,,,,,,,,
1000.0,0.1,11000,,,,,,0.0016010759482014691,0.9972623,-0.02305573636549525,-0.03972652927041054,0.844580078125,-6.181531327962875,0.5492965579032898,0.0003,0.2,100
1000.0,0.1,12000,,,,,,,,,,,,,,,
,,12288,33.52,6,-1683717608645156608,0,0.9000000000000005,,,,,,,,,,
1000.0,0.1,13000,,,,,,0.0024855315735294427,2.291905,-0.03101087078975979,-0.014856395311653614,0.9005859375,-6.0279424890875815,0.41221439838409424,0.0003,0.2,120
1000.0,0.1,14000,,,,,,,,,,,,,,,
,,14336,25.76,7,-1683717608645156608,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,15000,,,,,,0.001688843863121292,3.8657813,-0.03475911322748289,-0.06204265356063843,0.917578125,-5.850614394247532,0.3520452380180359,0.0003,0.2,140
10.0,0.9,16000,,,,,,,,,,,,,,,
,,16384,23.34,8,-1683717608645156608,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,17000,,,,,,0.001538543603646758,6.6204762,-0.045922767609590666,-0.03329502046108246,0.9310546875,-5.514165468513966,0.3689129948616028,0.0003,0.2,160
10.0,0.9,18000,,,,,,,,,,,,,,,
,,18432,18.87,9,-1683717608645156608,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,19000,,,,,,0.002688281435030149,10.114784,-0.03660907380108256,-0.013785656541585922,0.944873046875,-5.229216946661472,0.2900771498680115,0.0003,0.2,180
10.0,0.9,20000,,,,,,,,,,,,,,,
,,20480,17.66,10,-1683717608645156608,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,21000,,,,,,0.0036864088800030006,18.492775,-0.011669779851217754,-0.04574581980705261,0.9501953125,-4.774165377020836,0.2463836669921875,0.0003,0.2,200
10.0,0.9,22000,,,,,,,,,,,,,,,
,,22528,15.45,11,-1683717608645156352,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,23000,,,,,,0.002096176785289572,25.64139,-0.049301347931032066,-0.0727875754237175,0.94423828125,-4.510337744653225,0.16517502069473267,0.0003,0.2,220
10.0,0.9,24000,,,,,,,,,,,,,,,
,,24576,13.94,12,-1683717608645156352,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,25000,,,,,,0.0034666818002733633,64.86004,-0.04179603248776402,-0.07353390008211136,0.94248046875,-4.194499533623457,0.11775749921798706,0.0003,0.2,240
10.0,0.9,26000,,,,,,,,,,,,,,,
,,26624,13.31,13,-1683717608645156352,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,27000,,,,,,0.0010276076334093886,75.77888,-0.06084072533994913,-0.054561130702495575,0.953466796875,-3.8265708394348623,-0.014912843704223633,0.0003,0.2,260
10.0,0.9,28000,,,,,,,,,,,,,,,
,,28672,13.3,14,-1683717608645156352,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,29000,,,,,,0.0034320797802593005,154.98466,-0.025743242978933267,-0.06270662695169449,0.93740234375,-3.494544133543968,0.06609779596328735,0.0003,0.2,280
10.0,0.9,30000,,,,,,,,,,,,,,,
,,30720,12.74,15,-1683717608645156352,0,0.9000000000000005,,,,,,,,,,
