time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_fraction
1000,1000.0,0.1,,,,,,,,,,,,,,,
2000,1000.0,0.1,,,,,,,,,,,,,,,
2048,,,0,-1683717609109071360,0.8999999999999999,1,48.095238095238095,,,,,,,,,,
3000,1000.0,0.0,,,,,,20,0.2,-6.53017263263464,0.025164884,-0.062017493898747486,-0.5476387739181519,-0.06804865598678589,0.03151620137796272,0.0003,0.2861328125
4000,1000.0,0.0,,,,,,,,,,,,,,,
4096,,,0,-1683717609109071104,0.9000000000000004,2,48.47560975609756,,,,,,,,,,
5000,1000.0,0.0,,,,,,40,0.2,-6.498308272659779,0.09272584,-0.04249478534038644,0.48588234186172485,-0.06411781162023544,0.007874384440219729,0.0003,0.57431640625
6000,1000.0,0.0,,,,,,,,,,,,,,,
6144,,,0,-1683717609109071104,0.9000000000000005,3,49.95,,,,,,,,,,
7000,1000.0,0.0,,,,,,60,0.2,-6.460894724726677,0.16977215,-0.02537228009896353,0.6165415346622467,-0.08165906369686127,0.0035701539673027582,0.0003,0.668701171875
8000,1000.0,0.0,,,,,,,,,,,,,,,
8192,,,0,-1683717609109070848,0.9000000000000005,4,51.93,,,,,,,,,,
9000,1000.0,0.1,,,,,,80,0.2,-6.436278042197228,0.30839497,-0.02625741683441447,0.6110085546970367,-0.06697345525026321,0.0022998751044724488,0.0003,0.753466796875
10000,1000.0,0.1,,,,,,,,,,,,,,,
10240,,,0,-1683717609109070848,0.9000000000000005,5,57.43,,,,,,,,,,
11000,1000.0,0.2,,,,,,100,0.2,-6.257049843668938,0.4420262,-0.015340401731373276,0.5133119821548462,-0.04090886935591698,0.003825776369922096,0.0003,0.799267578125
12000,1000.0,0.2,,,,,,,,,,,,,,,
12288,,,0,-1683717609109070592,0.9000000000000005,6,56.95,,,,,,,,,,
13000,1000.0,0.2,,,,,,120,0.2,-6.1850958779454235,0.7428458,0.009683819417841733,0.5355196297168732,0.000655673211440444,0.003917927604925353,0.0003,0.83798828125
14000,1000.0,0.2,,,,,,,,,,,,,,,
14336,,,0,-1683717609109070592,0.9000000000000005,7,51.99,,,,,,,,,,
15000,1000.0,0.7,,,,,,140,0.2,-6.23216128051281,0.7066135,0.022723977072746492,0.4939959645271301,-0.016857575625181198,0.0055360759597533615,0.0003,0.866650390625
16000,1000.0,0.7,,,,,,,,,,,,,,,
16384,,,0,-1683717609109070592,0.9000000000000005,8,44.43,,,,,,,,,,
17000,1000.0,0.8,,,,,,160,0.2,-6.195208473503589,0.79904246,-0.004426631948444992,0.4708009362220764,-0.003065599827095866,0.004792727178210043,0.0003,0.874560546875
18000,1000.0,0.8,,,,,,,,,,,,,,,
