time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/loss,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss
1000,0.0,1000.0,,,,,,,,,,,,,,,
2000,0.0,1000.0,,,,,,,,,,,,,,,
2048,,,1,0,-1683717609766311680,54.97142857142857,0.8999999999999999,,,,,,,,,,
3000,0.0,1000.0,,,,,,0.0003,-0.09603441506624222,0.31376953125,20,-1.5144679546356201,0.2,-0.06999733926495537,0.03651142910821363,0.028047904,-6.525359904766082
4000,0.0,1000.0,,,,,,,,,,,,,,,
4096,,,2,0,-1683717609766311424,50.166666666666664,0.9000000000000006,,,,,,,,,,
5000,0.0,1000.0,,,,,,0.0003,-0.05201209336519241,0.545947265625,40,0.30237430334091187,0.2,-0.041716803674353285,0.009404328281380003,0.1144921,-6.463394519686699
6000,0.0,1000.0,,,,,,,,,,,,,,,
6144,,,3,0,-1683717609766311424,51.58,0.9000000000000005,,,,,,,,,,
7000,0.1,1000.0,,,,,,0.0003,-0.007498634047806263,0.616162109375,60,0.5947842299938202,0.2,-0.0050996939826291054,0.0054988785472232845,0.17972936,-6.459344211220741
8000,0.1,1000.0,,,,,,,,,,,,,,,
8192,,,4,0,-1683717609766311168,46.09,0.9000000000000005,,,,,,,,,,
9000,0.3,1000.0,,,,,,0.0003,-0.02381039783358574,0.74404296875,80,0.6249467134475708,0.2,-0.022895298880757763,0.00381580571847735,0.32908693,-6.406990319490433
10000,0.3,1000.0,,,,,,,,,,,,,,,
10240,,,5,0,-1683717609766311168,38.12,0.9000000000000005,,,,,,,,,,
11000,0.0,1000.0,,,,,,0.0003,-0.05256997048854828,0.81357421875,100,0.5564424693584442,0.2,-0.025602198943670374,0.004974114869946788,0.54069686,-6.353808838129043
12000,0.0,1000.0,,,,,,,,,,,,,,,
12288,,,6,0,-1683717609766310912,32.17,0.9000000000000005,,,,,,,,,,
13000,0.0,1000.0,,,,,,0.0003,-0.020648973062634468,0.865625,120,0.5261426270008087,0.2,-0.03432461415068246,0.0010736840162280715,0.7984247,-6.28976554274559
14000,0.0,1000.0,,,,,,,,,,,,,,,
14336,,,7,0,-1683717609766310912,29.65,0.9000000000000005,,,,,,,,,,
15000,0.6,1000.0,,,,,,0.0003,-0.061592716723680496,0.8912109375,140,0.48752838373184204,0.2,-0.03455442711128853,0.0021696147672628286,1.4129913,-6.217816317081452
16000,0.6,1000.0,,,,,,,,,,,,,,,
16384,,,8,0,-1683717609766310912,26.74,0.9000000000000005,,,,,,,,,,
17000,0.9,10.0,,,,,,0.0003,-0.05447686091065407,0.90263671875,160,0.41481828689575195,0.2,-0.03826698144257534,0.0014510956027152134,1.9795562,-6.159830142557621
18000,0.9,10.0,,,,,,,,,,,,,,,
18432,,,9,0,-1683717609766310656,22.39,0.9000000000000005,,,,,,,,,,
