eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
1000.0,0.0,1000,,,,,,,,,,,,,,,
1000.0,0.0,2000,,,,,,,,,,,,,,,
,,2048,54.638888888888886,1,0,-1683717610063963648,0.8999999999999999,,,,,,,,,,
1000.0,0.1,3000,,,,,,0.285302734375,0.0003,0.03998857295373455,0.2,20,0.024812475,-0.05728159844875336,-2.337156057357788,-6.52535130828619,-0.06484711932134815
1000.0,0.1,4000,,,,,,,,,,,,,,,
,,4096,50.53846153846154,2,0,-1683717610063963392,0.9000000000000006,,,,,,,,,,
1000.0,0.0,5000,,,,,,0.54609375,0.0003,0.008187252149946289,0.2,40,0.100130595,-0.04563097283244133,-0.12249565124511719,-6.484626083076,-0.03248714162618853
1000.0,0.0,6000,,,,,,,,,,,,,,,
,,6144,48.11,3,0,-1683717610063963392,0.9000000000000005,,,,,,,,,,
1000.0,0.0,7000,,,,,,0.6642578125,0.0003,0.005782371556415455,0.2,60,0.23545201,-0.05225414037704468,0.4009453058242798,-6.386451931297779,-0.034909868490649386
1000.0,0.0,8000,,,,,,,,,,,,,,,
,,8192,46.47,4,0,-1683717610063963136,0.9000000000000005,,,,,,,,,,
1000.0,0.0,9000,,,,,,0.770361328125,0.0003,0.0034426996899128426,0.2,80,0.4784602,-0.011969371698796749,0.6118533611297607,-6.261616915464401,-0.017387048396631143
1000.0,0.0,10000,,,,,,,,,,,,,,,
,,10240,42.4,5,0,-1683717610063963136,0.9000000000000005,,,,,,,,,,
1000.0,0.0,11000,,,,,,0.8556640625,0.0003,0.0037577128436169006,0.2,100,1.0606139,-0.05147915706038475,0.5882781744003296,-6.036322021484375,-0.009940326953073963
1000.0,0.0,12000,,,,,,,,,,,,,,,
,,12288,38.77,6,0,-1683717610063962880,0.9000000000000005,,,,,,,,,,
1000.0,0.0,13000,,,,,,0.905517578125,0.0003,0.001318564223311114,0.2,120,2.1010108,0.007925141602754593,0.553613007068634,-5.788802815973758,-0.008451348160451743
1000.0,0.0,14000,,,,,,,,,,,,,,,
,,14336,34.03,7,0,-1683717610063962880,0.9000000000000005,,,,,,,,,,
1000.0,0.0,15000,,,,,,0.928662109375,0.0003,0.0018131194049601617,0.2,140,2.990575,-0.02596655674278736,0.48222583532333374,-5.757397684454918,-0.002780293233809061
1000.0,0.0,16000,,,,,,,,,,,,,,,
,,16384,29.14,8,0,-1683717610063962880,0.9000000000000005,,,,,,,,,,
1000.0,0.0,17000,,,,,,0.945849609375,0.0003,0.0006964822980080499,0.2,160,5.504555,-0.006135465577244759,0.5138179361820221,-5.5971844986081125,-0.024952177668455987
1000.0,0.0,18000,,,,,,,,,,,,,,,
,,18432,23.21,9,0,-1683717610063962624,0.9000000000000005,,,,,,,,,,
1000.0,0.0,19000,,,,,,0.962353515625,0.0003,0.0022511693131491485,0.2,180,9.386473,-0.061419788748025894,0.4353432059288025,-5.308204928040505,-0.040962880876031706
1000.0,0.0,20000,,,,,,,,,,,,,,,
,,20480,20.1,10,0,-1683717610063962624,0.9000000000000005,,,,,,,,,,
1000.0,0.0,21000,,,,,,0.95615234375,0.0003,0.0007551755350959866,0.2,200,13.752752,-0.01792878285050392,0.3640371561050415,-5.069119755923748,-0.019601768962456845
1000.0,0.0,22000,,,,,,,,,,,,,,,
,,22528,18.96,11,0,-1683717610063962368,0.9000000000000005,,,,,,,,,,
10.0,0.9,23000,,,,,,0.960986328125,0.0003,0.003831863592768059,0.2,220,19.679077,-0.08561908453702927,0.34733861684799194,-4.698805792629718,-0.03769110068969894
10.0,0.9,24000,,,,,,,,,,,,,,,
,,24576,16.92,12,0,-1683717610063962368,0.9000000000000005,,,,,,,,,,
10.0,0.9,25000,,,,,,0.96943359375,0.0003,0.0018678684905353293,0.2,240,32.205093,-0.05761529505252838,0.28446507453918457,-4.306682188808918,-0.059775887717842126
10.0,0.9,26000,,,,,,,,,,,,,,,
,,26624,14.84,13,0,-1683717610063962368,0.9000000000000005,,,,,,,,,,
10.0,0.9,27000,,,,,,0.961669921875,0.0003,0.0028937112479979986,0.2,260,109.08828,-0.048543766140937805,0.1624959111213684,-3.8874715253710748,-0.05350523162051104
10.0,0.9,28000,,,,,,,,,,,,,,,
,,28672,15.24,14,0,-1683717610063962368,0.9000000000000005,,,,,,,,,,
10.0,0.9,29000,,,,,,0.95751953125,0.0003,0.00047391120210704685,0.2,280,37.62509,-0.04316428303718567,0.2778642773628235,-3.5996378801763056,-0.05764236410614103
10.0,0.9,30000,,,,,,,,,,,,,,,
,,30720,14.17,15,0,-1683717610063962368,0.9000000000000005,,,,,,,,,,
