time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss
1000,0.0,1000.0,,,,,,,,,,,,,,,
2000,0.0,1000.0,,,,,,,,,,,,,,,
2048,,,0,-1683717610715066880,0.8999999999999999,51.31578947368421,1,,,,,,,,,,
3000,0.1,1000.0,,,,,,-1.531949758529663,0.2900390625,0.2,0.022313692,0.04090059295413084,0.0003,-0.08450524508953094,20,-6.528948925435543,-0.07123313017364126
4000,0.1,1000.0,,,,,,,,,,,,,,,
4096,,,0,-1683717610715066624,0.9000000000000005,52.69736842105263,2,,,,,,,,,,
5000,0.1,1000.0,,,,,,-0.06843245029449463,0.5447265625,0.2,0.11864113,0.013751526130363345,0.0003,-0.07332063466310501,40,-6.427667732536793,-0.05561380534199998
6000,0.1,1000.0,,,,,,,,,,,,,,,
6144,,,0,-1683717610715066624,0.9000000000000005,54.04,3,,,,,,,,,,
7000,0.1,1000.0,,,,,,0.5148282647132874,0.641455078125,0.2,0.31461924,0.005645999855914852,0.0003,-0.04709000140428543,60,-6.301910872757435,-0.012798479340563062
8000,0.1,1000.0,,,,,,,,,,,,,,,
8192,,,0,-1683717610715066368,0.9000000000000005,44.92,4,,,,,,,,,,
9000,0.3,1000.0,,,,,,0.4999963045120239,0.7482421875,0.2,0.55860937,0.0030460703030257717,0.0003,-0.02067798376083374,80,-6.215547570586205,-0.005049730441533029
10000,0.3,1000.0,,,,,,,,,,,,,,,
10240,,,0,-1683717610715066368,0.9000000000000005,42.92,5,,,,,,,,,,
11000,0.2,1000.0,,,,,,0.3356396555900574,0.747119140625,0.2,0.7738382,0.005058067464415217,0.0003,-0.022378183901309967,100,-6.221395982801914,0.006481404400255996
12000,0.2,1000.0,,,,,,,,,,,,,,,
12288,,,0,-1683717610715066112,0.9000000000000005,39.95,6,,,,,,,,,,
13000,0.3,1000.0,,,,,,0.46109944581985474,0.831201171875,0.2,1.5343504,0.0028140947895735737,0.0003,-0.018581535667181015,120,-5.999267914891243,-0.019373800241737626
14000,0.3,1000.0,,,,,,,,,,,,,,,
14336,,,0,-1683717610715066112,0.9000000000000005,32.6,7,,,,,,,,,,
15000,0.4,1000.0,,,,,,0.4200524091720581,0.876904296875,0.2,3.000545,0.0016451636289275483,0.0003,-0.03626265749335289,140,-5.750661647319793,-0.02811048590228893
16000,0.4,1000.0,,,,,,,,,,,,,,,
16384,,,0,-1683717610715066112,0.9000000000000005,28.69,8,,,,,,,,,,
17000,0.6,1000.0,,,,,,0.3366890549659729,0.906591796875,0.2,7.7835455,0.0019613443822890987,0.0003,0.0082415621727705,160,-5.450703923404217,-0.015769213228486477
18000,0.6,1000.0,,,,,,,,,,,,,,,
18432,,,0,-1683717610715065856,0.9000000000000005,22.53,9,,,,,,,,,,
