eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/loss
1000.0,0.0,1000,,,,,,,,,,,,,,,
1000.0,0.0,2000,,,,,,,,,,,,,,,
,,2048,1,0,0.8999999999999999,-1683717611046681088,52.921052631578945,,,,,,,,,,
1000.0,0.0,3000,,,,,,20,-0.06702559500117786,-6.530567562580108,0.03780563350883313,-1.881908655166626,0.0003,0.250439453125,0.022224363,0.2,-0.07289060205221176
1000.0,0.0,4000,,,,,,,,,,,,,,,
,,4096,2,0,0.9000000000000007,-1683717611046680832,50.18987341772152,,,,,,,,,,
1000.0,0.0,5000,,,,,,40,-0.05021939210128039,-6.476659174263477,0.008085805982409511,-0.23067450523376465,0.0003,0.5361328125,0.09723149,0.2,-0.09519725292921066
1000.0,0.0,6000,,,,,,,,,,,,,,,
,,6144,3,0,0.9000000000000005,-1683717611046680832,48.91,,,,,,,,,,
1000.0,0.0,7000,,,,,,60,-0.019353359952219762,-6.473364506661892,0.005873267192146159,0.3104078769683838,0.0003,0.67099609375,0.17141154,0.2,-0.0457025021314621
1000.0,0.0,8000,,,,,,,,,,,,,,,
,,8192,4,0,0.9000000000000005,-1683717611046680576,46.25,,,,,,,,,,
1000.0,0.0,9000,,,,,,80,-0.03852164331183303,-6.409828232228756,0.004774668493701029,0.49046844244003296,0.0003,0.7408203125,0.29689452,0.2,-0.05336557328701019
1000.0,0.0,10000,,,,,,,,,,,,,,,
,,10240,5,0,0.9000000000000005,-1683717611046680576,38.27,,,,,,,,,,
1000.0,0.0,11000,,,,,,100,-0.0470525381679181,-6.250233580172062,0.0016291274594550486,0.5920774936676025,0.0003,0.8333984375,0.744982,0.2,-0.04504583030939102
1000.0,0.0,12000,,,,,,,,,,,,,,,
,,12288,6,0,0.9000000000000005,-1683717611046680320,34.06,,,,,,,,,,
1000.0,0.0,13000,,,,,,120,-0.00983271442091791,-6.171213929355145,0.004616614852693601,0.547704815864563,0.0003,0.87099609375,1.0962713,0.2,-0.002913928823545575
1000.0,0.0,14000,,,,,,,,,,,,,,,
,,14336,7,0,0.9000000000000005,-1683717611046680320,27.88,,,,,,,,,,
1000.0,0.0,15000,,,,,,140,-0.04422522659006063,-6.072467339038849,0.004478541071330255,0.45693439245224,0.0003,0.911572265625,1.8020349,0.2,-0.05537227913737297
1000.0,0.0,16000,,,,,,,,,,,,,,,
,,16384,8,0,0.9000000000000005,-1683717611046680320,25.08,,,,,,,,,,
1000.0,0.1,17000,,,,,,160,-0.022014393014251253,-5.872348652780056,0.0020393130165757612,0.4180546998977661,0.0003,0.92744140625,2.4822335,0.2,-0.027255982160568237
1000.0,0.1,18000,,,,,,,,,,,,,,,
,,18432,9,0,0.9000000000000005,-1683717611046680064,22.65,,,,,,,,,,
1000.0,0.0,19000,,,,,,180,-0.04479845017049229,-5.811420151591301,0.00048380603464011075,0.3903389573097229,0.0003,0.936376953125,4.150745,0.2,-0.06301601976156235
1000.0,0.0,20000,,,,,,,,,,,,,,,
,,20480,10,0,0.9000000000000005,-1683717611046680064,20.64,,,,,,,,,,
1000.0,0.1,21000,,,,,,200,-0.0313324784161523,-5.659186431765557,0.0013317817447841662,0.3638525605201721,0.0003,0.947314453125,6.1822367,0.2,0.0028818240389227867
1000.0,0.1,22000,,,,,,,,,,,,,,,
,,22528,11,0,0.9000000000000005,-1683717611046679808,17.5,,,,,,,,,,
1000.0,0.0,23000,,,,,,220,-0.060065774770919234,-5.4643956735730175,0.0003134247221851183,0.2728092074394226,0.0003,0.949951171875,9.923145,0.2,-0.07826549559831619
1000.0,0.0,24000,,,,,,,,,,,,,,,
,,24576,12,0,0.9000000000000005,-1683717611046679808,17.29,,,,,,,,,,
10.0,0.9,25000,,,,,,240,-0.0522790756134782,-5.079060526192189,0.002339742735694017,0.258281409740448,0.0003,0.952783203125,19.762833,0.2,-0.09620624780654907
10.0,0.9,26000,,,,,,,,,,,,,,,
,,26624,13,0,0.9000000000000005,-1683717611046679808,14.05,,,,,,,,,,
10.0,0.9,27000,,,,,,260,-0.06623470870254096,-4.66109347641468,0.00284649105956305,0.1563776731491089,0.0003,0.95244140625,59.625553,0.2,-0.08704374730587006
10.0,0.9,28000,,,,,,,,,,,,,,,
,,28672,14,0,0.9000000000000005,-1683717611046679808,13.56,,,,,,,,,,
10.0,0.9,29000,,,,,,280,-0.059848468931159006,-4.2515824943780895,0.0017378891867792846,0.10540372133255005,0.0003,0.950244140625,40.498764,0.2,-0.0722455307841301
10.0,0.9,30000,,,,,,,,,,,,,,,
,,30720,15,0,0.9000000000000005,-1683717611046679552,12.45,,,,,,,,,,
