time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range
1000,1000.0,0.0,,,,,,,,,,,,,,,
2000,1000.0,0.0,,,,,,,,,,,,,,,
2048,,,-1683717611623638784,1,51.578947368421055,0,0.8999999999999999,,,,,,,,,,
3000,1000.0,0.0,,,,,,-1.8168208599090576,-6.531660644710064,0.0003,0.021188186,-0.0641698066610843,-0.05509985610842705,0.258154296875,0.03724404263193719,20,0.2
4000,1000.0,0.0,,,,,,,,,,,,,,,
4096,,,-1683717611623638528,2,48.26829268292683,0,0.9000000000000004,,,,,,,,,,
5000,1000.0,0.0,,,,,,-0.3382307291030884,-6.493872101604938,0.0003,0.083318576,-0.03213164917542599,-0.03355903923511505,0.55400390625,0.00820515921805054,40,0.2
6000,1000.0,0.0,,,,,,,,,,,,,,,
6144,,,-1683717611623638528,3,44.26,0,0.9000000000000005,,,,,,,,,,
7000,1000.0,0.0,,,,,,0.5078399479389191,-6.4285427868366245,0.0003,0.20888692,-0.042515865084715186,-0.07866412401199341,0.71669921875,0.0032509165019291688,60,0.2
8000,1000.0,0.0,,,,,,,,,,,,,,,
8192,,,-1683717611623638272,4,41.94,0,0.9000000000000005,,,,,,,,,,
9000,1000.0,0.0,,,,,,0.607453316450119,-6.347695751488208,0.0003,0.48601335,-0.030587967776227742,-0.06596493721008301,0.805419921875,0.0012917069017930772,80,0.2
10000,1000.0,0.0,,,,,,,,,,,,,,,
10240,,,-1683717611623638272,5,39.26,0,0.9000000000000005,,,,,,,,,,
11000,1000.0,0.0,,,,,,0.5832150280475616,-6.210588136315346,0.0003,0.91098094,-0.02901161438494455,-1.4272518455982208e-05,0.85029296875,0.002559837480112037,100,0.2
12000,1000.0,0.0,,,,,,,,,,,,,,,
12288,,,-1683717611623638016,6,35.29,0,0.9000000000000005,,,,,,,,,,
13000,1000.0,0.0,,,,,,0.5647947490215302,-6.099125215411187,0.0003,1.5170479,-0.035526949795894325,-0.04868996888399124,0.892236328125,0.0018926979071693494,120,0.2
14000,1000.0,0.0,,,,,,,,,,,,,,,
14336,,,-1683717611623638016,7,33.11,0,0.9000000000000005,,,,,,,,,,
15000,1000.0,0.0,,,,,,0.46730196475982666,-6.045198714733123,0.0003,1.778759,-0.013968619995284825,0.010553086176514626,0.88349609375,0.004324447960607358,140,0.2
16000,1000.0,0.0,,,,,,,,,,,,,,,
16384,,,-1683717611623638016,8,27.95,0,0.9000000000000005,,,,,,,,,,
17000,1000.0,0.0,,,,,,0.49063777923583984,-5.826127691566944,0.0003,3.1452694,-0.0432339406281244,-0.10054164379835129,0.923828125,0.0010316272291674977,160,0.2
18000,1000.0,0.0,,,,,,,,,,,,,,,
18432,,,-1683717611623637760,9,26.06,0,0.9000000000000005,,,,,,,,,,
19000,1000.0,0.0,,,,,,0.4321402907371521,-5.650968988239765,0.0003,4.7836165,-0.020893884522956797,0.03433844447135925,0.937744140625,0.004067573501924926,180,0.2
20000,1000.0,0.0,,,,,,,,,,,,,,,
20480,,,-1683717611623637760,10,23.66,0,0.9000000000000005,,,,,,,,,,
21000,10.0,0.9,,,,,,0.4356784224510193,-5.4571319878101345,0.0003,6.376055,-0.04814393277047202,-0.05581420660018921,0.948095703125,0.0003781252345106623,200,0.2
22000,10.0,0.9,,,,,,,,,,,,,,,
22528,,,-1683717611623637760,11,22.49,0,0.9000000000000005,,,,,,,,,,
23000,1000.0,0.4,,,,,,0.3696519136428833,-5.247347819805145,0.0003,9.644104,-0.03203073793556541,-0.04129529371857643,0.94404296875,0.0006543081710788101,220,0.2
24000,1000.0,0.4,,,,,,,,,,,,,,,
24576,,,-1683717611623637504,12,20.26,0,0.9000000000000005,,,,,,,,,,
25000,1000.0,0.7,,,,,,0.25415557622909546,-4.8848220109939575,0.0003,19.150717,-0.0007145608629798517,-0.04230635613203049,0.95166015625,0.0035335949009095203,240,0.2
26000,1000.0,0.7,,,,,,,,,,,,,,,
26624,,,-1683717611623637504,13,20.95,0,0.9000000000000005,,,,,,,,,,
27000,10.0,0.9,,,,,,0.252197802066803,-4.5024565070867535,0.0003,19.51955,-0.03000885630317498,-0.053619612008333206,0.957421875,0.0015911359326764795,260,0.2
28000,10.0,0.9,,,,,,,,,,,,,,,
28672,,,-1683717611623637504,14,19.74,0,0.9000000000000005,,,,,,,,,,
29000,10.0,0.9,,,,,,0.1581069827079773,-4.140816421806813,0.0003,40.76471,-0.02048866907134652,-0.07342909276485443,0.9556640625,0.001545784488916979,280,0.2
30000,10.0,0.9,,,,,,,,,,,,,,,
30720,,,-1683717611623637248,15,16.08,0,0.9000000000000005,,,,,,,,,,
31000,10.0,0.9,,,,,,0.19658297300338745,-3.8491421572864057,0.0003,81.32268,0.03147885118960403,-0.046963080763816833,0.95576171875,0.000994950719859844,300,0.2
32000,10.0,0.9,,,,,,,,,,,,,,,
32768,,,-1683717611623637248,16,16.19,0,0.9000000000000005,,,,,,,,,,
33000,10.0,0.9,,,,,,0.060654401779174805,-3.668078576028347,0.0003,51.490128,-0.03936033393256366,-0.08055553585290909,0.951171875,0.0037656322400835053,320,0.2
34000,10.0,0.9,,,,,,,,,,,,,,,
34816,,,-1683717611623637248,17,13.87,0,0.9000000000000005,,,,,,,,,,
