eval/mean_reward,eval/mean_ep_length,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/clip_range,train/value_loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,train/n_updates,train/policy_gradient_loss
0.1,1000.0,1000,,,,,,,,,,,,,,,
0.1,1000.0,2000,,,,,,,,,,,,,,,
,,2048,56.64705882352941,0.8999999999999999,-1683717611831324672,1,0,,,,,,,,,,
0.0,1000.0,3000,,,,,,-0.08130867034196854,0.2,0.0259985868295189,0.277978515625,0.023678405,-6.526811544597149,-0.8199589252471924,0.0003,20,-0.06594927500700579
0.0,1000.0,4000,,,,,,,,,,,,,,,
,,4096,51.85526315789474,0.9000000000000005,-1683717611831324416,2,0,,,,,,,,,,
0.0,1000.0,5000,,,,,,-0.08619173616170883,0.2,0.00683458471976337,0.55166015625,0.0932777,-6.48658576309681,0.3913004398345947,0.0003,40,-0.050060133426450194
0.0,1000.0,6000,,,,,,,,,,,,,,,
,,6144,51.56,0.9000000000000005,-1683717611831324416,3,0,,,,,,,,,,
0.0,1000.0,7000,,,,,,-0.06117820367217064,0.2,0.00347147691391001,0.668359375,0.17438462,-6.470984528958797,0.6178897321224213,0.0003,60,-0.030389304802520202
0.0,1000.0,8000,,,,,,,,,,,,,,,
,,8192,50.24,0.9000000000000005,-1683717611831324160,4,0,,,,,,,,,,
0.0,1000.0,9000,,,,,,-0.037222377955913544,0.2,0.0024820961221848846,0.737158203125,0.24638012,-6.435750707983971,0.6631813645362854,0.0003,80,-0.036946609456208535
0.0,1000.0,10000,,,,,,,,,,,,,,,
,,10240,45.61,0.9000000000000005,-1683717611831324160,5,0,,,,,,,,,,
0.0,1000.0,11000,,,,,,-0.052384573966264725,0.2,0.0027590895431785613,0.782421875,0.40487906,-6.398781161010265,0.5851501524448395,0.0003,100,-0.025833327995496803
0.0,1000.0,12000,,,,,,,,,,,,,,,
,,12288,36.05,0.9000000000000005,-1683717611831323904,6,0,,,,,,,,,,
0.4,1000.0,13000,,,,,,-0.061932578682899475,0.2,0.00297165401498205,0.841162109375,0.5998469,-6.349817878007888,0.5368120968341827,0.0003,120,-0.03792438288219273
0.4,1000.0,14000,,,,,,,,,,,,,,,
,,14336,34.37,0.9000000000000005,-1683717611831323904,7,0,,,,,,,,,,
0.4,1000.0,15000,,,,,,-0.00932831410318613,0.2,0.0029818656847055537,0.884716796875,0.9326553,-6.207862631976605,0.5075305700302124,0.0003,140,-0.018895565826096573
0.4,1000.0,16000,,,,,,,,,,,,,,,
,,16384,33.71,0.9000000000000005,-1683717611831323904,8,0,,,,,,,,,,
0.9,10.0,17000,,,,,,-0.03636351600289345,0.2,0.0020978169382942723,0.883642578125,1.4386806,-6.21378735601902,0.583011120557785,0.0003,160,-0.019459762543556282
0.9,10.0,18000,,,,,,,,,,,,,,,
,,18432,24.68,0.9000000000000005,-1683717611831323648,9,0,,,,,,,,,,
0.9,10.0,19000,,,,,,-0.04549999535083771,0.2,0.0013960329931251181,0.915234375,2.365944,-6.079254555702209,0.31019455194473267,0.0003,180,-0.04508498852374032
0.9,10.0,20000,,,,,,,,,,,,,,,
,,20480,19.84,0.9000000000000005,-1683717611831323648,10,0,,,,,,,,,,
0.4,1000.0,21000,,,,,,-0.05992474406957626,0.2,0.0036121527194154625,0.929736328125,4.2646966,-5.91688961237669,0.3123393654823303,0.0003,200,-0.04925678793806583
0.4,1000.0,22000,,,,,,,,,,,,,,,
,,22528,21.03,0.9000000000000005,-1683717611831323648,11,0,,,,,,,,,,
0.9,10.0,23000,,,,,,-0.054869938641786575,0.2,0.0018885189280354099,0.932568359375,5.920388,-5.853872136771679,0.33332741260528564,0.0003,220,-0.039337898220401256
0.9,10.0,24000,,,,,,,,,,,,,,,
,,24576,19.23,0.9000000000000005,-1683717611831323648,12,0,,,,,,,,,,
0.5,1000.0,25000,,,,,,-0.06386667490005493,0.2,0.0018482314487755502,0.9412109375,7.407075,-5.6929016128182415,0.20445501804351807,0.0003,240,-0.013690625200979412
0.5,1000.0,26000,,,,,,,,,,,,,,,
,,26624,17.47,0.9000000000000005,-1683717611831323392,13,0,,,,,,,,,,
0.5,1000.0,27000,,,,,,-0.053457554429769516,0.2,0.002522429841246776,0.9552734375,14.472229,-5.432003381848335,0.2252497673034668,0.0003,260,-0.05856559938983992
0.5,1000.0,28000,,,,,,,,,,,,,,,
,,28672,17.09,0.9000000000000005,-1683717611831323392,14,0,,,,,,,,,,
0.9,10.0,29000,,,,,,-0.060367412865161896,0.2,0.0012048069011598272,0.9568359375,13.137209,-5.2153347209095955,0.03789985179901123,0.0003,280,-0.05647105933749117
0.9,10.0,30000,,,,,,,,,,,,,,,
,,30720,13.42,0.9000000000000005,-1683717611831323392,15,0,,,,,,,,,,
0.9,10.0,31000,,,,,,-0.08221334218978882,0.2,0.0007065471804025946,0.963134765625,28.585121,-4.789061403274536,0.13462376594543457,0.0003,300,-0.07122497002128511
0.9,10.0,32000,,,,,,,,,,,,,,,
,,32768,13.93,0.9000000000000005,-1683717611831323136,16,0,,,,,,,,,,
0.9,10.0,33000,,,,,,-0.08114194869995117,0.2,0.0020055849570326245,0.966748046875,41.358295,-4.375600177049637,0.06607860326766968,0.0003,320,-0.07113855293137021
0.9,10.0,34000,,,,,,,,,,,,,,,
,,34816,13.69,0.9000000000000005,-1683717611831323136,17,0,,,,,,,,,,
0.9,10.0,35000,,,,,,-0.06609880179166794,0.2,0.0020603700577794372,0.9615234375,42.489166,-4.036993593722582,0.16285371780395508,0.0003,340,-0.06912547659012488
0.9,10.0,36000,,,,,,,,,,,,,,,
,,36864,15.64,0.9000000000000005,-1683717611831323136,18,0,,,,,,,,,,
0.9,10.0,37000,,,,,,-0.06023164093494415,0.2,0.0014101207752901246,0.965087890625,36.37295,-3.589835485816002,0.13087356090545654,0.0003,360,-0.07007230643066578
0.9,10.0,38000,,,,,,,,,,,,,,,
,,38912,12.38,0.9000000000000005,-1683717611831323136,19,0,,,,,,,,,,
0.9,10.0,39000,,,,,,-0.10149127244949341,0.2,0.0005976115170938101,0.95693359375,64.583595,-3.7223021037876607,0.06896048784255981,0.0003,380,-0.07569823455414734
0.9,10.0,40000,,,,,,,,,,,,,,,
,,40960,14.34,0.9000000000000005,-1683717611831323136,20,0,,,,,,,,,,
0.9,10.0,41000,,,,,,-0.0718400776386261,0.2,0.005247129631788994,0.9625,40.45755,-3.716037355363369,-0.028043270111083984,0.0003,400,-0.03913566636038013
0.9,10.0,42000,,,,,,,,,,,,,,,
0.9,10.0,43000,,,,,,,,,,,,,,,
,,43008,12.61,0.9000000000000005,-1683717611831322880,21,0,,,,,,,,,,
0.9,10.0,44000,,,,,,-0.06497976183891296,0.2,0.0016771549352597504,0.965087890625,133.37949,-3.3813736490905284,-0.012664556503295898,0.0003,420,-0.07232534180511721
0.9,10.0,45000,,,,,,,,,,,,,,,
,,45056,14.18,0.9000000000000005,-1683717611831322880,22,0,,,,,,,,,,
