time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_fraction
1000,50.0,0.1,,,,,,,,,,,,,,,
2000,50.0,0.1,,,,,,,,,,,,,,,
2048,,,14.97,0,1,0.3999999999999999,-1683715397353957120,,,,,,,,,,
3000,50.0,0.0,,,,,,0.2,-0.11997310072183609,0.028311143,-0.10647949207341298,0.002452491614531027,0.0003,20,-0.7243646383285522,-5.124327394366264,0.50986328125
4000,50.0,0.0,,,,,,,,,,,,,,,
4096,,,14.74,0,2,0.3999999999999999,-1683715397353957120,,,,,,,,,,
5000,50.0,0.0,,,,,,0.2,-0.06929251551628113,0.16844249,-0.03002412726636976,0.00015547875142374323,0.0003,40,0.005311846733093262,-5.084621031582356,0.659228515625
6000,50.0,0.0,,,,,,,,,,,,,,,
6144,,,12.53,0,3,0.3999999999999999,-1683715397353957120,,,,,,,,,,
7000,5.0,0.4,,,,,,0.2,-0.08185018599033356,0.3749257,-0.0432592217461206,6.334890119887859e-05,0.0003,60,0.036521077156066895,-5.074038276076317,0.7828125
8000,5.0,0.4,,,,,,,,,,,,,,,
8192,,,10.08,0,4,0.3999999999999999,-1683715397353956864,,,,,,,,,,
9000,5.0,0.4,,,,,,0.2,-0.07526302337646484,0.6580776,-0.05289200817351229,8.748543187948598e-05,0.0003,80,-0.21860098838806152,-5.0111564010381695,0.858935546875
10000,5.0,0.4,,,,,,,,,,,,,,,
10240,,,7.87,0,5,0.3999999999999999,-1683715397353956864,,,,,,,,,,
11000,5.0,0.4,,,,,,0.2,-0.12163203954696655,1.4474845,-0.05125883986474946,0.0002922340170471216,0.0003,100,-0.3072754144668579,-4.9099975436925885,0.9080078125
12000,5.0,0.4,,,,,,,,,,,,,,,
12288,,,8.37,0,6,0.3999999999999999,-1683715397353956864,,,,,,,,,,
13000,5.0,0.4,,,,,,0.2,-0.060266513377428055,4.0624814,-0.07703251912025735,0.00012234952982907997,0.0003,120,-0.36975955963134766,-4.318528224527836,0.94892578125
14000,5.0,0.4,,,,,,,,,,,,,,,
14336,,,7.78,0,7,0.3999999999999999,-1683715397353956608,,,,,,,,,,
15000,5.0,0.4,,,,,,0.2,0.01060405746102333,15.163298,0.008037049195263535,0.0006813035765162567,0.0003,140,-0.3192007541656494,-3.687403605878353,0.967431640625
16000,5.0,0.4,,,,,,,,,,,,,,,
16384,,,6.52,0,8,0.3999999999999999,-1683715397353956608,,,,,,,,,,
17000,5.0,0.4,,,,,,0.2,-0.11451942473649979,43.512985,-0.09554108668235131,0.00013215017321499545,0.0003,160,-0.5004973411560059,-2.8693322256207465,0.96513671875
18000,5.0,0.4,,,,,,,,,,,,,,,
18432,,,6.26,0,9,0.3999999999999999,-1683715397353956608,,,,,,,,,,
19000,5.0,0.4,,,,,,0.2,-0.09746188670396805,45.723404,-0.026831216394202783,0.0004798656718321581,0.0003,180,-0.5835105180740356,-2.099902742356062,0.92978515625
20000,5.0,0.4,,,,,,,,,,,,,,,
20480,,,6.04,0,10,0.3999999999999999,-1683715397353956352,,,,,,,,,,
21000,5.0,0.4,,,,,,0.2,-0.09549834579229355,35.87983,-0.008559483039425686,8.047081017252822e-05,0.0003,200,-0.625870943069458,-1.5681074626743794,0.841015625
22000,5.0,0.4,,,,,,,,,,,,,,,
22528,,,5.25,0,11,0.3999999999999999,-1683715397353956352,,,,,,,,,,
23000,5.0,0.4,,,,,,0.2,-0.11070602387189865,18.10342,0.001993253390537575,0.0003702497611726585,0.0003,220,-0.9561190605163574,-0.9804329363629222,0.703271484375
24000,5.0,0.4,,,,,,,,,,,,,,,
24576,,,5.23,0,12,0.3999999999999999,-1683715397353956352,,,,,,,,,,
25000,5.0,0.4,,,,,,0.2,-0.10028734803199768,24.758919,-0.08960870237788185,7.976156573477055e-05,0.0003,240,-1.001840591430664,-0.44061212027445434,0.462841796875
26000,5.0,0.4,,,,,,,,,,,,,,,
26624,,,5.38,0,13,0.3999999999999999,-1683715397353956096,,,,,,,,,,
27000,5.0,0.4,,,,,,0.2,-0.11475568264722824,17.074791,-0.08793335558148101,0.00012878059888805639,0.0003,260,-0.8839714527130127,-0.30005827913992106,0.46201171875
28000,5.0,0.4,,,,,,,,,,,,,,,
28672,,,5.07,0,14,0.3999999999999999,-1683715397353956096,,,,,,,,,,
29000,5.0,0.4,,,,,,0.2,-0.09597694128751755,53.181953,-0.08496824924368411,8.069957881708944e-05,0.0003,280,-1.0290884971618652,-0.12627954471390695,0.25390625
30000,5.0,0.4,,,,,,,,,,,,,,,
30720,,,5.14,0,15,0.3999999999999999,-1683715397353956096,,,,,,,,,,
31000,5.0,0.4,,,,,,0.2,-0.09182997792959213,15.506685,-0.0775291683152318,8.556233853198591e-05,0.0003,300,-1.0017144680023193,-0.07854200787842273,0.234375
32000,5.0,0.4,,,,,,,,,,,,,,,
32768,,,5.07,0,16,0.3999999999999999,-1683715397353956096,,,,,,,,,,
33000,5.0,0.4,,,,,,0.2,-0.08156988769769669,7.4374447,-0.07817747654626146,0.0005412283776792037,0.0003,320,-1.0117347240447998,-0.05688573087099939,0.21630859375
34000,5.0,0.4,,,,,,,,,,,,,,,
34816,,,5.1,0,17,0.3999999999999999,-1683715397353955840,,,,,,,,,,
35000,5.0,0.4,,,,,,0.2,-0.0753389447927475,14.754476,-0.07867033908842132,0.00033580462990911997,0.0003,340,-0.9963247776031494,-0.04338429990457371,0.216796875
36000,5.0,0.4,,,,,,,,,,,,,,,
36864,,,5.04,0,18,0.3999999999999999,-1683715397353955840,,,,,,,,,,
37000,5.0,0.4,,,,,,0.2,-0.07287026941776276,15.324049,-0.07696226384723559,0.00042552946988365646,0.0003,360,-0.9814726114273071,-0.03512196339434013,0.20947265625
38000,5.0,0.4,,,,,,,,,,,,,,,
38912,,,5.08,0,19,0.3999999999999999,-1683715397353955840,,,,,,,,,,
39000,5.0,0.4,,,,,,0.2,-0.08026524633169174,11.986017,-0.07766248598927632,0.00048410390204480793,0.0003,380,-1.1247243881225586,-0.029377142153680324,0.20947265625
40000,5.0,0.4,,,,,,,,,,,,,,,
40960,,,5.05,0,20,0.3999999999999999,-1683715397353955584,,,,,,,,,,
