eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,train/approx_kl,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates
50.0,1000,0.1,,,,,,,,,,,,,,,
50.0,2000,0.1,,,,,,,,,,,,,,,
,2048,,1,-1683715397694830848,14.65,0.3999999999999999,0,,,,,,,,,,
50.0,3000,0.0,,,,,,0.0003,-5.185525894165039,0.036615957,-0.1063123494386673,-0.10796252324362285,0.04500726764381398,0.530859375,0.2,-5.115336582064629,20
50.0,4000,0.0,,,,,,,,,,,,,,,
,4096,,2,-1683715397694830848,12.12,0.3999999999999999,0,,,,,,,,,,
50.0,5000,0.0,,,,,,0.0003,-1.4497263431549072,0.20376393,0.005844170227646828,-0.026510901097208262,0.0013464548687352363,0.63955078125,0.2,-5.073889192938805,40
50.0,6000,0.0,,,,,,,,,,,,,,,
,6144,,3,-1683715397694830848,14.82,0.39599999999999996,0,,,,,,,,,,
50.0,7000,0.1,,,,,,0.0003,-0.16108107566833496,0.42568064,-0.021303126588463783,-0.02225047992251348,0.0002860225362383062,0.743603515625,0.2,-5.007532232999802,60
50.0,8000,0.1,,,,,,,,,,,,,,,
,8192,,4,-1683715397694830592,15.24,0.3989999999999999,0,,,,,,,,,,
50.0,9000,0.1,,,,,,0.0003,-0.3283330202102661,0.790503,-0.061982911080121994,-0.0001272318244446069,0.0005118965010979081,0.77451171875,0.2,-4.893823528289795,80
50.0,10000,0.1,,,,,,,,,,,,,,,
,10240,,5,-1683715397694830592,12.08,0.3999999999999999,0,,,,,,,,,,
5.0,11000,0.4,,,,,,0.0003,-0.5248745679855347,2.3671706,-0.07220126688480377,0.04623664864338935,0.00013769991568324258,0.902099609375,0.2,-4.60123792886734,100
5.0,12000,0.4,,,,,,,,,,,,,,,
,12288,,6,-1683715397694830336,10.2,0.3999999999999999,0,,,,,,,,,,
5.0,13000,0.4,,,,,,0.0003,-0.5259782075881958,5.668124,-0.07238433510065079,0.03840477679041214,0.00017438176167843266,0.93876953125,0.2,-4.196110705286264,120
5.0,14000,0.4,,,,,,,,,,,,,,,
,14336,,7,-1683715397694830336,7.73,0.3999999999999999,0,,,,,,,,,,
5.0,15000,0.4,,,,,,0.0003,-0.7008814811706543,15.1688385,0.06056755781173706,-0.03976091389195062,0.0005543552371932492,0.93994140625,0.2,-3.6647743791341783,140
5.0,16000,0.4,,,,,,,,,,,,,,,
,16384,,8,-1683715397694830336,7.11,0.3999999999999999,0,,,,,,,,,,
5.0,17000,0.4,,,,,,0.0003,-0.7143378257751465,15.357706,-0.11228643357753754,-0.07760693786258344,0.00027977749850265353,0.95380859375,0.2,-2.9760987251996993,160
5.0,18000,0.4,,,,,,,,,,,,,,,
,18432,,9,-1683715397694830080,6.94,0.3999999999999999,0,,,,,,,,,,
5.0,19000,0.4,,,,,,0.0003,-0.7861032485961914,23.7328,-0.08815258741378784,-0.0993538283451926,0.0001735914772666547,0.965283203125,0.2,-2.4298816919326782,180
5.0,20000,0.4,,,,,,,,,,,,,,,
,20480,,10,-1683715397694830080,8.56,0.3999999999999999,0,,,,,,,,,,
5.0,21000,0.4,,,,,,0.0003,-0.7276222705841064,56.24443,-0.11928069591522217,-0.013007297535659745,0.00044264636524076194,0.978125,0.2,-1.795564928278327,200
5.0,22000,0.4,,,,,,,,,,,,,,,
,22528,,11,-1683715397694830080,6.57,0.3999999999999999,0,,,,,,,,,,
5.0,23000,0.4,,,,,,0.0003,-0.8788983821868896,36.69717,-0.13328926265239716,-0.11591912395088003,0.00012274785656245512,0.95908203125,0.2,-1.424626401439309,220
5.0,24000,0.4,,,,,,,,,,,,,,,
,24576,,12,-1683715397694830080,7.46,0.3999999999999999,0,,,,,,,,,,
5.0,25000,0.4,,,,,,0.0003,-0.7997593879699707,37.98207,-0.1271076202392578,-0.08416068285005167,0.0005127944195521649,0.930810546875,0.2,-1.159738483093679,240
5.0,26000,0.4,,,,,,,,,,,,,,,
,26624,,13,-1683715397694829824,7.03,0.3999999999999999,0,,,,,,,,,,
5.0,27000,0.4,,,,,,0.0003,-0.9220558404922485,53.05085,-0.12091918289661407,-0.013310134282801301,0.0005702335379965007,0.885009765625,0.2,-0.9792443860322237,260
5.0,28000,0.4,,,,,,,,,,,,,,,
,28672,,14,-1683715397694829824,6.14,0.3999999999999999,0,,,,,,,,,,
