eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/approx_kl
0.0,50.0,1000,,,,,,,,,,,,,,,
0.0,50.0,2000,,,,,,,,,,,,,,,
,,2048,1,0.3999999999999999,-1683715398296753664,16.01,0,,,,,,,,,,
0.0,50.0,3000,,,,,,-0.11435429006814957,-0.09334192243404686,20,0.023134519169980196,-5.11756509244442,0.4224609375,-4.119779109954834,0.2,0.0003,0.028623939
0.0,50.0,4000,,,,,,,,,,,,,,,
,,4096,2,0.3999999999999999,-1683715398296753664,13.75,0,,,,,,,,,,
0.2,50.0,5000,,,,,,-0.027713073417544365,-0.03333767563744914,40,0.0025089727048907664,-5.065375444293022,0.580126953125,-0.6551562547683716,0.2,0.0003,0.13121952
0.2,50.0,6000,,,,,,,,,,,,,,,
,,6144,3,0.3999999999999999,-1683715398296753664,13.2,0,,,,,,,,,,
0.1,50.0,7000,,,,,,0.054861657321453094,-0.016854438412701712,60,0.0006182504764637997,-5.008530704677105,0.73125,-0.049300551414489746,0.2,0.0003,0.37486875
0.1,50.0,8000,,,,,,,,,,,,,,,
,,8192,4,0.3999999999999999,-1683715398296753408,11.24,0,,,,,,,,,,
0.1,50.0,9000,,,,,,0.0038070008158683777,-0.01623893578071147,80,0.00023795988787469468,-4.889730410277844,0.86298828125,-0.33044862747192383,0.2,0.0003,1.0076233
0.1,50.0,10000,,,,,,,,,,,,,,,
,,10240,5,0.3999999999999999,-1683715398296753408,12.53,0,,,,,,,,,,
0.1,50.0,11000,,,,,,-0.08636865764856339,-0.010575251141563057,100,0.000789629276141568,-4.708209002017975,0.891357421875,-0.3767673969268799,0.2,0.0003,1.5820422
0.1,50.0,12000,,,,,,,,,,,,,,,
,,12288,6,0.3999999999999999,-1683715398296753152,9.35,0,,,,,,,,,,
0.1,50.0,13000,,,,,,-0.06803055107593536,0.02103184053557925,120,0.0006139499038738449,-4.106891269981861,0.943505859375,-0.2959061861038208,0.2,0.0003,6.5526905
0.1,50.0,14000,,,,,,,,,,,,,,,
,,14336,7,0.3999999999999999,-1683715398296753152,8.93,0,,,,,,,,,,
0.4,5.0,15000,,,,,,-0.08197460323572159,-0.06989322471490596,140,0.00022858634565068315,-3.4050093665719032,0.958203125,-0.5591596364974976,0.2,0.0003,14.462588
0.4,5.0,16000,,,,,,,,,,,,,,,
,,16384,8,0.3999999999999999,-1683715398296753152,8.53,0,,,,,,,,,,
0.4,5.0,17000,,,,,,-0.044927023351192474,-0.0508609551761765,160,9.554850482800248e-05,-2.6830628268420695,0.944384765625,-0.5808020830154419,0.2,0.0003,15.585156
0.4,5.0,18000,,,,,,,,,,,,,,,
,,18432,9,0.3999999999999999,-1683715398296752896,7.16,0,,,,,,,,,,
0.4,5.0,19000,,,,,,-0.12118910998106003,0.9859598140465096,180,0.0002706355180180253,-1.944919240102172,0.935400390625,-0.7718069553375244,0.2,0.0003,40.503357
0.4,5.0,20000,,,,,,,,,,,,,,,
,,20480,10,0.3999999999999999,-1683715398296752896,6.2,0,,,,,,,,,,
0.4,5.0,21000,,,,,,-0.08313187956809998,3.8906877058616374,200,0.0007313870097959807,-1.629761054366827,0.9125,-0.7999148368835449,0.2,0.0003,123.71585
0.4,5.0,22000,,,,,,,,,,,,,,,
,,22528,11,0.3999999999999999,-1683715398296752896,5.74,0,,,,,,,,,,
0.4,5.0,23000,,,,,,-0.0037813421804457903,-0.01569797835254576,220,0.0001333156144156078,-1.459708395600319,0.937646484375,-0.7032707929611206,0.2,0.0003,52.766644
0.4,5.0,24000,,,,,,,,,,,,,,,
,,24576,12,0.3999999999999999,-1683715398296752640,5.72,0,,,,,,,,,,
0.4,5.0,25000,,,,,,-0.05306634306907654,-0.046023409403278495,240,0.00018643894884604607,-1.3328745037317276,0.946923828125,-1.0212082862854004,0.2,0.0003,72.07368
0.4,5.0,26000,,,,,,,,,,,,,,,
,,26624,13,0.3999999999999999,-1683715398296752640,5.22,0,,,,,,,,,,
0.4,5.0,27000,,,,,,-0.12727046012878418,-0.10284610131056979,260,0.00011157912399823999,-1.4493565786629916,0.941455078125,-1.0490784645080566,0.2,0.0003,306.33734
0.4,5.0,28000,,,,,,,,,,,,,,,
,,28672,14,0.3999999999999999,-1683715398296752640,5.08,0,,,,,,,,,,
0.4,5.0,29000,,,,,,-0.09474041312932968,-0.09608438574941829,280,0.0007259243786620573,-0.9848169986158609,0.8736328125,-1.01474928855896,0.2,0.0003,45.181255
0.4,5.0,30000,,,,,,,,,,,,,,,
,,30720,15,0.3999999999999999,-1683715398296752640,5.1,0,,,,,,,,,,
0.4,5.0,31000,,,,,,-0.12356726080179214,-0.1160515125375241,300,0.0005294824165822832,-0.5282804652117192,0.71943359375,-1.2310209274291992,0.2,0.0003,38.33322
0.4,5.0,32000,,,,,,,,,,,,,,,
,,32768,16,0.3999999999999999,-1683715398296752384,5.07,0,,,,,,,,,,
0.4,5.0,33000,,,,,,-0.07075029611587524,-0.08674319195561112,320,0.00035666004013990005,-0.29035118776373564,0.34130859375,-1.1685230731964111,0.2,0.0003,20.236294
0.4,5.0,34000,,,,,,,,,,,,,,,
,,34816,17,0.3999999999999999,-1683715398296752384,5.15,0,,,,,,,,,,
0.4,5.0,35000,,,,,,-0.10853002965450287,-0.08463583170669153,340,4.591864604606144e-05,-0.18650177621748298,0.4560546875,-0.9777450561523438,0.2,0.0003,21.007946
0.4,5.0,36000,,,,,,,,,,,,,,,
,,36864,18,0.3999999999999999,-1683715398296752384,5.07,0,,,,,,,,,,
0.4,5.0,37000,,,,,,-0.08136273920536041,-0.08153352498775349,360,0.000245300284274208,-0.1484878772869706,0.2626953125,-1.0544397830963135,0.2,0.0003,8.680003
0.4,5.0,38000,,,,,,,,,,,,,,,
,,38912,19,0.3999999999999999,-1683715398296752128,5.01,0,,,,,,,,,,
0.4,5.0,39000,,,,,,-0.10185601562261581,-0.08166547695873305,380,0.00025109733344450544,-0.13245571991428734,0.27978515625,-0.9606418609619141,0.2,0.0003,20.22358
0.4,5.0,40000,,,,,,,,,,,,,,,
,,40960,20,0.3999999999999999,-1683715398296752128,5.01,0,,,,,,,,,,
0.4,5.0,41000,,,,,,-0.06871536374092102,-0.06363243858213537,400,0.0002065502305123701,-0.12556812883121893,0.288623046875,-1.0604522228240967,0.2,0.0003,15.568615
0.4,5.0,42000,,,,,,,,,,,,,,,
0.4,5.0,43000,,,,,,,,,,,,,,,
,,43008,21,0.3999999999999999,-1683715398296752128,5.04,0,,,,,,,,,,
0.4,5.0,44000,,,,,,-0.02475224807858467,-0.05827065397752449,420,4.93210717285919e-05,-0.14792968181427568,0.489208984375,-1.025315284729004,0.2,0.0003,6.259774
0.4,5.0,45000,,,,,,,,,,,,,,,
,,45056,22,0.3999999999999999,-1683715398296751872,5.09,0,,,,,,,,,,
0.4,5.0,46000,,,,,,-0.021734043955802917,-0.02281388023402542,440,1.6238975189919457e-05,-0.13257366102188825,0.58056640625,-1.0498502254486084,0.2,0.0003,17.260399
0.4,5.0,47000,,,,,,,,,,,,,,,
,,47104,23,0.3999999999999999,-1683715398296751872,5.05,0,,,,,,,,,,
0.4,5.0,48000,,,,,,-0.04923153668642044,-0.027313851509825328,460,0.000610478344793819,-0.11289456534432248,0.5693359375,-1.0456430912017822,0.2,0.0003,14.724181
0.4,5.0,49000,,,,,,,,,,,,,,,
,,49152,24,0.3999999999999999,-1683715398296751872,5.02,0,,,,,,,,,,
0.4,5.0,50000,,,,,,-0.039094164967536926,-0.03159794330422301,480,0.00023500662685265182,-0.15668072623666376,0.379296875,-0.9499874114990234,0.2,0.0003,6.985423
0.4,5.0,51000,,,,,,,,,,,,,,,
,,51200,25,0.3999999999999999,-1683715398296751872,5.07,0,,,,,,,,,,
