time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/approx_kl,train/entropy_loss,train/n_updates
1000,50.0,0.0,,,,,,,,,,,,,,,
2000,50.0,0.0,,,,,,,,,,,,,,,
2048,,,14.74,0,-1683715398762218752,1,0.3999999999999999,,,,,,,,,,
3000,50.0,0.1,,,,,,-0.11422153358580545,-4.958189010620117,0.02849446094769519,-0.10951216518878937,0.2,0.54384765625,0.0003,0.033238985,-5.106991311907768,20
4000,50.0,0.1,,,,,,,,,,,,,,,
4096,,,15.38,0,-1683715398762218752,2,0.3989999999999999,,,,,,,,,,
5000,50.0,0.1,,,,,,-0.025520092181977816,-0.499727725982666,0.0017127146378697945,-0.04239913821220398,0.2,0.547705078125,0.0003,0.17402412,-5.074181522428989,40
6000,50.0,0.1,,,,,,,,,,,,,,,
6144,,,17.83,0,-1683715398762218496,3,0.39799999999999996,,,,,,,,,,
7000,50.0,0.1,,,,,,-0.03329310600529425,-0.32583141326904297,0.0007453152436937671,-0.0606013759970665,0.2,0.665087890625,0.0003,0.3131249,-5.020813493430614,60
8000,50.0,0.1,,,,,,,,,,,,,,,
8192,,,15.83,0,-1683715398762218496,4,0.39799999999999996,,,,,,,,,,
9000,50.0,0.2,,,,,,-0.025313758448464795,-0.28410840034484863,0.0008287564281090453,-0.01582299917936325,0.2,0.772314453125,0.0003,0.6842202,-4.941723482310772,80
10000,50.0,0.2,,,,,,,,,,,,,,,
10240,,,11.18,0,-1683715398762218496,5,0.3999999999999999,,,,,,,,,,
11000,50.0,0.2,,,,,,0.058822671161033215,-0.47311580181121826,0.000375440364791757,-0.002379775745794177,0.2,0.876220703125,0.0003,2.5091972,-4.645245903730393,100
12000,50.0,0.2,,,,,,,,,,,,,,,
12288,,,11.09,0,-1683715398762218240,6,0.3999999999999999,,,,,,,,,,
13000,5.0,0.4,,,,,,0.11813562447787262,-0.4889645576477051,0.0008011934970113543,-0.05054508149623871,0.2,0.935888671875,0.0003,10.480632,-4.0402925804257395,120
14000,5.0,0.4,,,,,,,,,,,,,,,
14336,,,8.63,0,-1683715398762218240,7,0.3999999999999999,,,,,,,,,,
15000,5.0,0.4,,,,,,0.09918625127174892,-0.7020858526229858,0.0005817654547968232,-0.029280340299010277,0.2,0.943896484375,0.0003,9.802368,-3.314968956261873,140
16000,5.0,0.4,,,,,,,,,,,,,,,
16384,,,6.6,0,-1683715398762218240,8,0.3999999999999999,,,,,,,,,,
17000,5.0,0.4,,,,,,-0.02976989801391028,-0.6487302780151367,0.0003447076064730936,-0.06460125744342804,0.2,0.9515625,0.0003,48.252937,-2.650548715889454,160
18000,5.0,0.4,,,,,,,,,,,,,,,
18432,,,6.86,0,-1683715398762217984,9,0.3999999999999999,,,,,,,,,,
19000,5.0,0.4,,,,,,0.03186467341147363,-0.7705260515213013,0.00044618917916068314,-0.047828756272792816,0.2,0.96865234375,0.0003,43.57033,-2.1028666086494923,180
20000,5.0,0.4,,,,,,,,,,,,,,,
20480,,,5.53,0,-1683715398762217984,10,0.3999999999999999,,,,,,,,,,
21000,5.0,0.4,,,,,,-0.09670795170241035,-0.8294191360473633,5.218901613375237e-05,-0.0993233248591423,0.2,0.923974609375,0.0003,36.170982,-1.601206036657095,200
22000,5.0,0.4,,,,,,,,,,,,,,,
22528,,,5.42,0,-1683715398762217984,11,0.3999999999999999,,,,,,,,,,
23000,5.0,0.4,,,,,,-0.03321273591427598,-0.9559720754623413,6.67960231851339e-05,-0.11731436103582382,0.2,0.54287109375,0.0003,219.15178,-0.7719866097904742,220
24000,5.0,0.4,,,,,,,,,,,,,,,
24576,,,5.32,0,-1683715398762217728,12,0.3999999999999999,,,,,,,,,,
25000,5.0,0.4,,,,,,-0.06420299828459974,-0.9350206851959229,0.0007210307894865764,-0.063369981944561,0.2,0.330908203125,0.0003,96.431816,-0.278025676170364,240
26000,5.0,0.4,,,,,,,,,,,,,,,
26624,,,5.13,0,-1683715398762217728,13,0.3999999999999999,,,,,,,,,,
27000,5.0,0.4,,,,,,-0.07895892756059766,-0.9175726175308228,0.00041834198012367094,-0.09018949419260025,0.2,0.290087890625,0.0003,14.119521,-0.19207391734234988,260
28000,5.0,0.4,,,,,,,,,,,,,,,
28672,,,5.21,0,-1683715398762217728,14,0.3999999999999999,,,,,,,,,,
29000,5.0,0.4,,,,,,-0.08016269170911983,-0.840550422668457,0.000450868453903297,-0.09964602440595627,0.2,0.2841796875,0.0003,150.07722,-0.16659240261651576,280
30000,5.0,0.4,,,,,,,,,,,,,,,
30720,,,5.12,0,-1683715398762217728,15,0.3999999999999999,,,,,,,,,,
31000,5.0,0.4,,,,,,-0.057462448929436506,-1.0106332302093506,0.00029236224190469783,-0.04118221625685692,0.2,0.34306640625,0.0003,13.847948,-0.18450205957051366,300
32000,5.0,0.4,,,,,,,,,,,,,,,
32768,,,5.18,0,-1683715398762217472,16,0.3999999999999999,,,,,,,,,,
33000,5.0,0.4,,,,,,-0.004612783002085052,-1.0036892890930176,0.0006474419444998603,0.01677866466343403,0.2,0.61083984375,0.0003,19.509048,-0.18437309288419784,320
34000,5.0,0.4,,,,,,,,,,,,,,,
34816,,,5.24,0,-1683715398762217472,17,0.3999999999999999,,,,,,,,,,
35000,5.0,0.4,,,,,,-0.01813524947792757,-1.0531597137451172,6.76499273701836e-06,-0.07853779941797256,0.2,0.61328125,0.0003,14.723842,-0.1800272344611585,340
36000,5.0,0.4,,,,,,,,,,,,,,,
36864,,,5.13,0,-1683715398762217472,18,0.3999999999999999,,,,,,,,,,
37000,5.0,0.4,,,,,,-0.008283623796887695,-1.004807472229004,0.0004204802605194402,-0.03328123316168785,0.2,0.61328125,0.0003,20.677631,-0.178962088143453,360
38000,5.0,0.4,,,,,,,,,,,,,,,
38912,,,5.05,0,-1683715398762217216,19,0.3999999999999999,,,,,,,,,,
39000,5.0,0.4,,,,,,-0.01805059871985577,-0.9347527027130127,0.0001641696183831698,-0.028855806216597557,0.2,0.60693359375,0.0003,14.865593,-0.17825914171990007,380
40000,5.0,0.4,,,,,,,,,,,,,,,
40960,,,5.06,0,-1683715398762217216,20,0.3999999999999999,,,,,,,,,,
41000,5.0,0.4,,,,,,-0.016254892872530034,-0.9229024648666382,0.000154880076179964,0.0030233142897486687,0.2,0.597119140625,0.0003,16.178606,-0.18692252770997583,400
42000,5.0,0.4,,,,,,,,,,,,,,,
43000,5.0,0.4,,,,,,,,,,,,,,,
43008,,,5.03,0,-1683715398762217216,21,0.3999999999999999,,,,,,,,,,
44000,5.0,0.4,,,,,,-0.029435352474683894,-0.9366544485092163,0.0005028135535724232,-0.01484548207372427,0.2,0.56494140625,0.0003,18.09507,-0.18336061118170618,420
45000,5.0,0.4,,,,,,,,,,,,,,,
45056,,,5.01,0,-1683715398762216960,22,0.3999999999999999,,,,,,,,,,
46000,5.0,0.4,,,,,,-0.099107495858334,-0.9659385681152344,2.7787675844725968e-05,-0.09744159132242203,0.2,0.4130859375,0.0003,12.4770155,-0.1763827207731083,440
47000,5.0,0.4,,,,,,,,,,,,,,,
47104,,,5.03,0,-1683715398762216960,23,0.3999999999999999,,,,,,,,,,
48000,5.0,0.4,,,,,,-0.09920167112722993,-1.0308430194854736,0.0002229370344991821,-0.10465650260448456,0.2,0.408203125,0.0003,8.637052,-0.17300131726078688,460
49000,5.0,0.4,,,,,,,,,,,,,,,
49152,,,5.06,0,-1683715398762216960,24,0.3999999999999999,,,,,,,,,,
50000,5.0,0.4,,,,,,-0.09662302573560737,-1.0337905883789062,0.0004377792956098858,-0.10110681504011154,0.2,0.41455078125,0.0003,6.3538527,-0.16887088452931492,480
51000,5.0,0.4,,,,,,,,,,,,,,,
51200,,,5.03,0,-1683715398762216960,25,0.3999999999999999,,,,,,,,,,
