eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate
0.1,1000,50.0,,,,,,,,,,,,,,,
0.1,2000,50.0,,,,,,,,,,,,,,,
,2048,,1,-1683715399373360384,14.95,0,0.3999999999999999,,,,,,,,,,
0.3,3000,50.0,,,,,,0.523291015625,-13.50928020477295,20,0.2,0.033794634,0.030530548565729988,-0.10908694951795042,-5.120573955774307,-0.11620336771011353,0.0003
0.3,4000,50.0,,,,,,,,,,,,,,,
,4096,,2,-1683715399373360384,11.45,0,0.3999999999999999,,,,,,,,,,
0.2,5000,50.0,,,,,,0.569482421875,-0.1399993896484375,40,0.2,0.16317861,0.0008751245628218385,-0.0447140246455092,-5.052597604691982,-0.08706312626600266,0.0003
0.2,6000,50.0,,,,,,,,,,,,,,,
,6144,,3,-1683715399373360128,14.5,0,0.3989999999999999,,,,,,,,,,
0.2,7000,50.0,,,,,,0.73671875,-0.49351954460144043,60,0.2,0.5443266,0.0005360434393651304,-0.011693167941120918,-4.973102463781833,0.0035801392514258623,0.0003
0.2,8000,50.0,,,,,,,,,,,,,,,
,8192,,4,-1683715399373360128,11.63,0,0.3999999999999999,,,,,,,,,,
0.3,9000,50.0,,,,,,0.870751953125,-0.3149745464324951,80,0.2,1.0476513,0.0005049614627409937,0.00621429598540999,-4.878021654486656,0.08601652830839157,0.0003
0.3,10000,50.0,,,,,,,,,,,,,,,
,10240,,5,-1683715399373360128,10.49,0,0.3999999999999999,,,,,,,,,,
0.3,11000,50.0,,,,,,0.91005859375,-0.5931340456008911,100,0.2,1.969876,0.0005022269954224612,-0.02975768055766821,-4.619009703397751,0.02701469510793686,0.0003
0.3,12000,50.0,,,,,,,,,,,,,,,
,12288,,6,-1683715399373359872,12.65,0,0.3999999999999999,,,,,,,,,,
0.3,13000,50.0,,,,,,0.932958984375,-0.6306623220443726,120,0.2,7.214332,0.00062545698649501,0.22329588675929699,-4.133787271380425,-0.0836610198020935,0.0003
0.3,14000,50.0,,,,,,,,,,,,,,,
,14336,,7,-1683715399373359872,14.22,0,0.3999999999999999,,,,,,,,,,
0.4,15000,5.0,,,,,,0.96015625,-0.4788163900375366,140,0.2,20.758823,0.0012261509281415784,0.05059460305783432,-3.297303968667984,-0.05526060611009598,0.0003
0.4,16000,5.0,,,,,,,,,,,,,,,
,16384,,8,-1683715399373359872,8.33,0,0.3999999999999999,,,,,,,,,,
0.4,17000,5.0,,,,,,0.946240234375,-0.7436808347702026,160,0.2,30.401663,0.0003266493868750331,0.04933311970671639,-2.529485335201025,0.03081216849386692,0.0003
0.4,18000,5.0,,,,,,,,,,,,,,,
,18432,,9,-1683715399373359616,8.29,0,0.3999999999999999,,,,,,,,,,
0.4,19000,5.0,,,,,,0.921826171875,-0.7406748533248901,180,0.2,39.944298,0.0004445397443532784,-0.025155549318878912,-1.7237168405205012,-0.04074148088693619,0.0003
0.4,20000,5.0,,,,,,,,,,,,,,,
,20480,,10,-1683715399373359616,8.13,0,0.3999999999999999,,,,,,,,,,
0.4,21000,5.0,,,,,,0.853466796875,-0.8828734159469604,200,0.2,81.824905,7.897353443695466e-05,-0.04725375418493059,-0.8373544106259942,-0.11495214700698853,0.0003
0.4,22000,5.0,,,,,,,,,,,,,,,
,22528,,11,-1683715399373359616,6.44,0,0.3999999999999999,,,,,,,,,,
0.4,23000,5.0,,,,,,0.644970703125,-0.7926151752471924,220,0.2,45.52073,0.0005912125360907794,-0.041834130918141456,-0.49762989515438677,-0.05251634120941162,0.0003
0.4,24000,5.0,,,,,,,,,,,,,,,
,24576,,12,-1683715399373359360,5.64,0,0.3999999999999999,,,,,,,,,,
0.4,25000,5.0,,,,,,0.613330078125,-1.0178873538970947,240,0.2,16.809696,0.0004477554998516098,-0.017830867433804087,-0.31346607813611627,0.0004961782251484692,0.0003
0.4,26000,5.0,,,,,,,,,,,,,,,
,26624,,13,-1683715399373359360,6.51,0,0.3999999999999999,,,,,,,,,,
0.4,27000,5.0,,,,,,0.6388671875,-0.8438373804092407,260,0.2,17.546219,0.0006255870412303465,-0.04352899079385679,-0.23190630371682347,-0.05639142543077469,0.0003
0.4,28000,5.0,,,,,,,,,,,,,,,
,28672,,14,-1683715399373359360,6.77,0,0.3999999999999999,,,,,,,,,,
0.4,29000,5.0,,,,,,0.68408203125,-0.8610585927963257,280,0.2,17.393318,5.143504209002003e-05,-0.008856939891120418,-0.2089478897396475,-0.010673630982637405,0.0003
0.4,30000,5.0,,,,,,,,,,,,,,,
,30720,,15,-1683715399373359104,5.27,0,0.3999999999999999,,,,,,,,,,
0.4,31000,5.0,,,,,,0.689453125,-1.0010185241699219,300,0.2,13.534191,0.00022600244686401538,0.019591978355310857,-0.21951782815158366,0.05835431441664696,0.0003
0.4,32000,5.0,,,,,,,,,,,,,,,
,32768,,16,-1683715399373359104,5.14,0,0.3999999999999999,,,,,,,,,,
