eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/n_updates,train/policy_gradient_loss,train/clip_fraction
0.0,1000,50.0,,,,,,,,,,,,,,,
0.0,2000,50.0,,,,,,,,,,,,,,,
,2048,,0,0.3999999999999999,-1683715399720192768,1,14.78,,,,,,,,,,
0.0,3000,50.0,,,,,,0.0003,-0.14521142840385437,-7.000672340393066,0.008859156149992487,0.030404124,-5.107125209271908,0.2,20,-0.11049242935841903,0.527197265625
0.0,4000,50.0,,,,,,,,,,,,,,,
,4096,,0,0.3999999999999999,-1683715399720192768,2,14.16,,,,,,,,,,
0.0,5000,50.0,,,,,,0.0003,-0.05124597251415253,-0.0408402681350708,0.0006415032559289102,0.19241431,-5.057232391834259,0.2,40,-0.022405417647678404,0.630810546875
0.0,6000,50.0,,,,,,,,,,,,,,,
,6144,,0,0.3999999999999999,-1683715399720192512,3,13.73,,,,,,,,,,
0.3,7000,50.0,,,,,,0.0003,-0.08712420612573624,0.05875658988952637,0.0007135547798952757,0.44367188,-4.968313005566597,0.2,60,-0.00932441066543106,0.7388671875
0.3,8000,50.0,,,,,,,,,,,,,,,
,8192,,0,0.3999999999999999,-1683715399720192512,4,15.48,,,,,,,,,,
0.3,9000,50.0,,,,,,0.0003,-0.06282608956098557,-0.29965972900390625,0.0006983150212818146,0.90342486,-4.860788601636886,0.2,80,0.0064042537240311505,0.812158203125
0.3,10000,50.0,,,,,,,,,,,,,,,
,10240,,0,0.3999999999999999,-1683715399720192512,5,11.61,,,,,,,,,,
0.3,11000,50.0,,,,,,0.0003,-0.09142211824655533,-0.3311772346496582,0.000680697609186609,2.0902653,-4.653989578783512,0.2,100,-0.0049663443642202765,0.88115234375
0.3,12000,50.0,,,,,,,,,,,,,,,
,12288,,0,0.3999999999999999,-1683715399720192256,6,14.03,,,,,,,,,,
0.4,13000,5.0,,,,,,0.0003,-0.06931393593549728,-0.47128748893737793,0.0006550191325459309,3.264391,-4.614401724934578,0.2,120,-0.004803601975436322,0.8802734375
0.4,14000,5.0,,,,,,,,,,,,,,,
,14336,,0,0.3999999999999999,-1683715399720192256,7,8.35,,,,,,,,,,
0.4,15000,5.0,,,,,,0.0003,-0.14440199732780457,-0.5875749588012695,0.00021474909829066746,13.536203,-4.1275821179151535,0.2,140,-0.02741317708569113,0.933447265625
0.4,16000,5.0,,,,,,,,,,,,,,,
,16384,,0,0.3999999999999999,-1683715399720192256,8,6.77,,,,,,,,,,
0.4,17000,5.0,,,,,,0.0003,-0.10888447612524033,-0.6455308198928833,0.00010949684215688649,43.520203,-3.263120187073946,0.2,160,0.2455268615332898,0.959228515625
0.4,18000,5.0,,,,,,,,,,,,,,,
,18432,,0,0.3999999999999999,-1683715399720192000,9,7.49,,,,,,,,,,
0.4,19000,5.0,,,,,,0.0003,-0.13170921802520752,-0.8753402233123779,6.21861363242715e-05,30.465588,-2.4471143878996373,0.2,180,-0.005933218979043886,0.97470703125
0.4,20000,5.0,,,,,,,,,,,,,,,
,20480,,0,0.3999999999999999,-1683715399720192000,10,6.15,,,,,,,,,,
0.4,21000,5.0,,,,,,0.0003,-0.11737138032913208,-0.886913537979126,0.00020015029101330128,107.28684,-1.5649318039417266,0.2,200,0.050382923166034745,0.943017578125
0.4,22000,5.0,,,,,,,,,,,,,,,
,22528,,0,0.3999999999999999,-1683715399720192000,11,5.8,,,,,,,,,,
0.4,23000,5.0,,,,,,0.0003,-0.13852651417255402,-0.9411674737930298,0.0002865643373866078,53.728104,-0.9673641540110112,0.2,220,-0.11944663678295911,0.820361328125
0.4,24000,5.0,,,,,,,,,,,,,,,
,24576,,0,0.3999999999999999,-1683715399720191744,12,5.19,,,,,,,,,,
0.4,25000,5.0,,,,,,0.0003,-0.10696204751729965,-1.0297701358795166,0.0006195048330795317,25.954594,-0.6870234534144402,0.2,240,-0.10827071295352653,0.704736328125
0.4,26000,5.0,,,,,,,,,,,,,,,
,26624,,0,0.3999999999999999,-1683715399720191744,13,5.21,,,,,,,,,,
0.4,27000,5.0,,,,,,0.0003,-0.08385232836008072,-0.9775805473327637,0.00015188786106250517,26.950277,-0.4648014330305159,0.2,260,-0.11120702009648084,0.641357421875
0.4,28000,5.0,,,,,,,,,,,,,,,
,28672,,0,0.3999999999999999,-1683715399720191744,14,5.37,,,,,,,,,,
0.4,29000,5.0,,,,,,0.0003,-0.10667407512664795,-1.0189549922943115,0.000456534504468209,19.479172,-0.34083956596441567,0.2,280,-0.10556466646958143,0.45322265625
0.4,30000,5.0,,,,,,,,,,,,,,,
,30720,,0,0.3999999999999999,-1683715399720191744,15,5.42,,,,,,,,,,
0.4,31000,5.0,,,,,,0.0003,-0.09537501633167267,-0.9654639959335327,9.266638745870636e-05,20.449257,-0.298044260032475,0.2,300,-0.09324384973151609,0.46826171875
0.4,32000,5.0,,,,,,,,,,,,,,,
,32768,,0,0.3999999999999999,-1683715399720191488,16,5.11,,,,,,,,,,
0.4,33000,5.0,,,,,,0.0003,-0.07164900004863739,-0.970551609992981,0.00030302913677644484,40.153595,-0.28855768060311676,0.2,320,-0.08158868413884193,0.485107421875
0.4,34000,5.0,,,,,,,,,,,,,,,
,34816,,0,0.3999999999999999,-1683715399720191488,17,5.13,,,,,,,,,,
0.4,35000,5.0,,,,,,0.0003,-0.04361290857195854,-1.0600697994232178,5.696500193046461e-05,18.249035,-0.26820645104162394,0.2,340,-0.062384255393408236,0.49326171875
0.4,36000,5.0,,,,,,,,,,,,,,,
,36864,,0,0.3999999999999999,-1683715399720191488,18,5.12,,,,,,,,,,
