eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
50.0,0.0,1000,,,,,,,,,,,,,,,
50.0,0.0,2000,,,,,,,,,,,,,,,
,,2048,15.57,1,0.3999999999999999,0,-1683715400403608576,,,,,,,,,,
50.0,0.1,3000,,,,,,0.02868017,-0.11889207427739165,0.2,-12.545010566711426,20,0.0003,0.511865234375,0.015888743466348387,-0.13925151526927948,-5.110638144612312
50.0,0.1,4000,,,,,,,,,,,,,,,
,,4096,13.25,2,0.3999999999999999,0,-1683715400403608576,,,,,,,,,,
50.0,0.1,5000,,,,,,0.13745219,-0.03403106606856454,0.2,-0.09708333015441895,40,0.0003,0.603662109375,0.0009200869299093029,-0.04398440197110176,-5.067833709716797
50.0,0.1,6000,,,,,,,,,,,,,,,
,,6144,10.53,3,0.3999999999999999,0,-1683715400403608320,,,,,,,,,,
50.0,0.1,7000,,,,,,0.45463127,-0.02443838607869111,0.2,-0.15849566459655762,60,0.0003,0.800048828125,0.00047146164965852224,-0.09185529500246048,-4.990399551391602
50.0,0.1,8000,,,,,,,,,,,,,,,
,,8192,10.74,4,0.3999999999999999,0,-1683715400403608320,,,,,,,,,,
5.0,0.4,9000,,,,,,1.0266974,-0.023367424064781518,0.2,-0.2871057987213135,80,0.0003,0.865380859375,0.00020838845471189417,-0.1132844015955925,-4.8724248826503755
5.0,0.4,10000,,,,,,,,,,,,,,,
,,10240,9.28,5,0.3999999999999999,0,-1683715400403608320,,,,,,,,,,
5.0,0.4,11000,,,,,,1.870716,-0.020170444922405294,0.2,-0.3028467893600464,100,0.0003,0.912451171875,0.00046334817916431347,-0.08313153684139252,-4.7624119251966475
5.0,0.4,12000,,,,,,,,,,,,,,,
,,12288,7.9,6,0.3999999999999999,0,-1683715400403608064,,,,,,,,,,
5.0,0.4,13000,,,,,,3.6153443,-0.028841900144470856,0.2,-0.5082122087478638,120,0.0003,0.93466796875,0.00011299112654796772,-0.11114033311605453,-4.398592230677605
5.0,0.4,14000,,,,,,,,,,,,,,,
,,14336,8.85,7,0.3999999999999999,0,-1683715400403608064,,,,,,,,,,
5.0,0.4,15000,,,,,,8.24972,-0.021407248519244602,0.2,-0.446685791015625,140,0.0003,0.94228515625,0.00046950998986403645,-0.04107284173369408,-3.941844093799591
5.0,0.4,16000,,,,,,,,,,,,,,,
,,16384,7.17,8,0.3999999999999999,0,-1683715400403608064,,,,,,,,,,
5.0,0.4,17000,,,,,,21.120644,-0.0468842352333013,0.2,-0.6897670030593872,160,0.0003,0.94697265625,5.3475395105806456e-05,-0.10329335182905197,-3.310403170436621
5.0,0.4,18000,,,,,,,,,,,,,,,
,,18432,6.07,9,0.3999999999999999,0,-1683715400403608064,,,,,,,,,,
5.0,0.4,19000,,,,,,54.6092,-0.08303378038981464,0.2,-0.6283785104751587,180,0.0003,0.9548828125,0.0007708533899176473,-0.007171634119004011,-2.5148512147367
5.0,0.4,20000,,,,,,,,,,,,,,,
,,20480,5.85,10,0.3999999999999999,0,-1683715400403607808,,,,,,,,,,
5.0,0.4,21000,,,,,,29.875084,-0.08598673067754134,0.2,-0.9380512237548828,200,0.0003,0.937109375,0.0007841120626267184,-0.09845409542322159,-1.999965300783515
5.0,0.4,22000,,,,,,,,,,,,,,,
,,22528,5.55,11,0.3999999999999999,0,-1683715400403607808,,,,,,,,,,
5.0,0.4,23000,,,,,,57.475143,-0.10801010230788961,0.2,-0.75694739818573,220,0.0003,0.90390625,0.0006933664986775057,-0.11876023560762405,-1.2815949261188506
5.0,0.4,24000,,,,,,,,,,,,,,,
,,24576,5.96,12,0.3999999999999999,0,-1683715400403607808,,,,,,,,,,
5.0,0.4,25000,,,,,,44.593384,-0.10034296462545171,0.2,-1.0342557430267334,240,0.0003,0.68232421875,0.00027697924689960016,-0.10922711342573166,-0.7235294995829463
5.0,0.4,26000,,,,,,,,,,,,,,,
,,26624,5.34,13,0.3999999999999999,0,-1683715400403607552,,,,,,,,,,
5.0,0.4,27000,,,,,,78.43596,-0.09328018120722845,0.2,-0.9991979598999023,260,0.0003,0.49443359375,0.00014741535258195882,-0.12117677181959152,-0.41692186184227464
5.0,0.4,28000,,,,,,,,,,,,,,,
,,28672,5.17,14,0.3999999999999999,0,-1683715400403607552,,,,,,,,,,
5.0,0.4,29000,,,,,,80.6204,-0.09663576305611059,0.2,-1.0104374885559082,280,0.0003,0.45703125,0.0005228220815368445,-0.09353693574666977,-0.3217720694374293
5.0,0.4,30000,,,,,,,,,,,,,,,
