eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl
0.0,1000,1000.0,,,,,,,,,,,,,,,
0.0,2000,1000.0,,,,,,,,,,,,,,,
,2048,,76,1000.0,26,1,0.5,,,,,,,,,,
0.0,3000,1000.0,,,,,,10,0.010794821464878623,0.136572265625,0.0003,-6.541981135308743,-0.022538878486375324,0.2,-0.026956990361213684,0.7079386711120605,0.014672662
0.0,4000,1000.0,,,,,,,,,,,,,,,
,4096,,159,1000.0,25,2,0.6000000000000001,,,,,,,,,,
0.0,5000,1000.0,,,,,,20,0.00800909516729007,0.125634765625,0.0003,-6.529884360730648,-0.021160602587042377,0.2,-0.04535101354122162,0.7246465384960175,0.014424313
0.0,6000,1000.0,,,,,,,,,,,,,,,
,6144,,242,1000.0,25,3,0.6166666666666668,,,,,,,,,,
0.0,7000,1000.0,,,,,,30,0.008195064841129352,0.16875,0.0003,-6.52279791533947,-0.021212612633826212,0.2,-0.03238510340452194,0.5157993137836456,0.015978787
0.0,8000,1000.0,,,,,,,,,,,,,,,
,8192,,325,1000.0,25,4,0.625,,,,,,,,,,
0.0,9000,1000.0,,,,,,40,0.0044343867042698545,0.164501953125,0.0003,-6.497481670975685,-0.02389686411479488,0.2,-0.03468386456370354,0.7732691615819931,0.016792085
0.0,10000,1000.0,,,,,,,,,,,,,,,
,10240,,407,1000.0,25,5,0.6,,,,,,,,,,
0.0,11000,1000.0,,,,,,50,0.0041968071522205715,0.17001953125,0.0003,-6.497911351919174,-0.023045752244070173,0.2,-0.05779331922531128,0.8651814460754395,0.015875751
0.0,12000,1000.0,,,,,,,,,,,,,,,
,12288,,488,1000.0,25,6,0.6166666666666667,,,,,,,,,,
0.0,13000,1000.0,,,,,,60,0.0010221586295756425,0.217431640625,0.0003,-6.477014911174774,-0.03031569601444062,0.2,-0.03268704563379288,0.7583793252706528,0.018297777
0.0,14000,1000.0,,,,,,,,,,,,,,,
,14336,,569,1000.0,25,7,0.6214285714285713,,,,,,,,,,
0.0,15000,1000.0,,,,,,70,0.004110656913326238,0.204931640625,0.0003,-6.4743902564048765,-0.025881202501477674,0.2,-0.002117812167853117,0.9147602468729019,0.020487146
0.0,16000,1000.0,,,,,,,,,,,,,,,
,16384,,650,1000.0,25,8,0.64375,,,,,,,,,,
0.0,17000,1000.0,,,,,,80,0.0028298551323132416,0.147314453125,0.0003,-6.471803037822246,-0.02113061093259603,0.2,-0.014927271753549576,0.660063773393631,0.012842206
0.0,18000,1000.0,,,,,,,,,,,,,,,
,18432,,731,1000.0,25,9,0.6444444444444444,,,,,,,,,,
0.0,19000,1000.0,,,,,,90,0.0016395663026742113,0.200341796875,0.0003,-6.452113665640354,-0.02807515386666637,0.2,-0.05390011891722679,0.8754847571253777,0.020890277
0.0,20000,1000.0,,,,,,,,,,,,,,,
,20480,,812,1000.0,25,10,0.6449999999999999,,,,,,,,,,
0.0,21000,1000.0,,,,,,100,0.0018095799692673608,0.17587890625,0.0003,-6.439317612349987,-0.0254604552523233,0.2,-0.0429510734975338,0.7590138614177704,0.016201474
0.0,22000,1000.0,,,,,,,,,,,,,,,
,22528,,894,1000.0,25,11,0.6454545454545454,,,,,,,,,,
0.0,23000,1000.0,,,,,,110,0.0015263256371781607,0.188427734375,0.0003,-6.449045191705227,-0.02859565005346667,0.2,-0.06519193947315216,0.8870945647358894,0.023299154
0.0,24000,1000.0,,,,,,,,,,,,,,,
,24576,,975,1000.0,25,12,0.6375000000000001,,,,,,,,,,
0.0,25000,1000.0,,,,,,120,0.0020611232843293693,0.175439453125,0.0003,-6.423706005513668,-0.02645059932838194,0.2,-0.04578350484371185,0.8795622140169144,0.016480967
0.0,26000,1000.0,,,,,,,,,,,,,,,
,26624,,1056,1000.0,25,13,0.6423076923076922,,,,,,,,,,
0.0,27000,1000.0,,,,,,130,0.0012114990300915451,0.202783203125,0.0003,-6.379867930710316,-0.029089968488551676,0.2,-0.035827912390232086,0.8419449925422668,0.01903725
0.0,28000,1000.0,,,,,,,,,,,,,,,
,28672,,1137,1000.0,25,14,0.6392857142857143,,,,,,,,,,
0.0,29000,1000.0,,,,,,140,0.0014489178618987352,0.201513671875,0.0003,-6.372603248059749,-0.026717875408940016,0.2,-0.041532233357429504,0.8936168327927589,0.022806834
0.0,30000,1000.0,,,,,,,,,,,,,,,
,30720,,1218,997.4333333333333,25,15,0.6433333333333333,,,,,,,,,,
0.0,31000,1000.0,,,,,,150,0.002375821388341137,0.162451171875,0.0003,-6.381145803630352,-0.022959179249301086,0.2,-0.01673855260014534,0.738560825586319,0.015529219
0.0,32000,1000.0,,,,,,,,,,,,,,,
,32768,,1300,1000.0,25,16,0.65,,,,,,,,,,
0.0,33000,1000.0,,,,,,160,0.002175368309690384,0.16982421875,0.0003,-6.396147580444813,-0.02562232916825451,0.2,-0.030807342380285263,0.7170291543006897,0.015172619
0.0,34000,1000.0,,,,,,,,,,,,,,,
,34816,,1381,1000.0,25,17,0.6529411764705884,,,,,,,,,,
0.0,35000,1000.0,,,,,,170,0.0019322235997606186,0.191357421875,0.0003,-6.399760907888412,-0.030041359923779966,0.2,-0.028500612825155258,0.8619027137756348,0.017412305
0.0,36000,1000.0,,,,,,,,,,,,,,,
,36864,,1462,1000.0,25,18,0.6472222222222224,,,,,,,,,,
0.0,37000,1000.0,,,,,,180,0.0023327707469434243,0.19765625,0.0003,-6.401099902391434,-0.03098712377832271,0.2,-0.058939747512340546,0.7747795730829239,0.018197894
0.0,38000,1000.0,,,,,,,,,,,,,,,
,38912,,1543,1000.0,25,19,0.6526315789473686,,,,,,,,,,
0.0,39000,1000.0,,,,,,190,0.0011095728114923985,0.152783203125,0.0003,-6.382759976387024,-0.025200999251683242,0.2,-0.03303704410791397,0.7887381911277771,0.015144678
0.0,40000,1000.0,,,,,,,,,,,,,,,
,40960,,1624,1000.0,25,20,0.6575,,,,,,,,,,
0.0,41000,1000.0,,,,,,200,0.001300868406360678,0.215771484375,0.0003,-6.348984146118164,-0.02951346877962351,0.2,-0.02890552207827568,0.8613759279251099,0.022058617
0.0,42000,1000.0,,,,,,,,,,,,,,,
0.0,43000,1000.0,,,,,,,,,,,,,,,
,43008,,1733,1000.0,24,21,0.6627906976744186,,,,,,,,,,
0.10000000149011612,44000,1000.0,,,,,,210,0.0025616528034333895,0.149267578125,0.0003,-6.337582004070282,-0.02394903002132196,0.2,-0.04916686192154884,0.8056047856807709,0.013742808
0.10000000149011612,45000,1000.0,,,,,,,,,,,,,,,
,45056,,1814,1000.0,24,22,0.6555555555555556,,,,,,,,,,
0.10000000149011612,46000,1000.0,,,,,,220,0.0017688410712253244,0.191455078125,0.0003,-6.275650049746036,-0.024581281247083097,0.2,-0.054269399493932724,0.8385886996984482,0.018913181
0.10000000149011612,47000,1000.0,,,,,,,,,,,,,,,
,47104,,1895,1000.0,24,23,0.6553191489361703,,,,,,,,,,
0.10000000149011612,48000,1000.0,,,,,,230,0.000737989399090111,0.160498046875,0.0003,-6.302395407855511,-0.02117114765860606,0.2,-0.016097888350486755,0.8508173376321793,0.0149070155
0.10000000149011612,49000,1000.0,,,,,,,,,,,,,,,
