time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss
1000,0.0,1000.0,,,,,,,,,,,,,,,
2000,0.0,1000.0,,,,,,,,,,,,,,,
2048,,,1,0.7,1000.0,26,77,,,,,,,,,,
3000,0.0,1000.0,,,,,,-0.02307654395408463,10,0.2,0.12451171875,0.0003,-0.04483594000339508,0.0089636817065184,0.0145066045,0.8636085242033005,-6.5414015963673595
4000,0.0,1000.0,,,,,,,,,,,,,,,
4096,,,2,0.6749999999999999,1000.0,25,160,,,,,,,,,,
5000,0.0,1000.0,,,,,,-0.02216112480382435,20,0.2,0.15830078125,0.0003,-0.03307388722896576,0.004148652283038246,0.014497065,0.645583838224411,-6.526531203091144
6000,0.0,1000.0,,,,,,,,,,,,,,,
6144,,,3,0.7166666666666667,1000.0,25,243,,,,,,,,,,
7000,0.0,1000.0,,,,,,-0.025240784307243302,30,0.2,0.161474609375,0.0003,-0.03267703950405121,0.0037657944867532933,0.015417937,0.7297557592391968,-6.515613152086734
8000,0.0,1000.0,,,,,,,,,,,,,,,
8192,,,4,0.7375,967.5,25,325,,,,,,,,,,
9000,0.0,1000.0,,,,,,-0.03495280151546467,40,0.2,0.19033203125,0.0003,-0.02665785886347294,0.0056858555977669315,0.017995372,0.8515557646751404,-6.502641254663468
10000,0.0,1000.0,,,,,,,,,,,,,,,
10240,,,5,0.7500000000000001,1000.0,25,407,,,,,,,,,,
11000,0.0,1000.0,,,,,,-0.028249765650252813,50,0.2,0.183154296875,0.0003,-0.033157337456941605,0.003552781747202971,0.016680604,0.6714924275875092,-6.488042417168617
12000,0.0,1000.0,,,,,,,,,,,,,,,
12288,,,6,0.7583333333333334,997.8333333333334,25,488,,,,,,,,,,
13000,0.0,1000.0,,,,,,-0.02677429118193686,60,0.2,0.181103515625,0.0003,-0.014764973893761635,0.002106347745302628,0.016688928,0.8582582473754883,-6.465032607316971
14000,0.0,1000.0,,,,,,,,,,,,,,,
14336,,,7,0.8,1000.0,25,569,,,,,,,,,,
15000,0.0,1000.0,,,,,,-0.028593445775914005,70,0.2,0.180908203125,0.0003,-0.04077679291367531,0.003661117989940976,0.016850453,0.7287528216838837,-6.441609466075898
16000,0.0,1000.0,,,,,,,,,,,,,,,
16384,,,8,0.7937500000000001,1000.0,25,650,,,,,,,,,,
17000,0.0,1000.0,,,,,,-0.03487465856014751,80,0.2,0.21005859375,0.0003,-0.011562919244170189,0.0021542722675803815,0.020180551,0.8684001713991165,-6.441681203246117
18000,0.0,1000.0,,,,,,,,,,,,,,,
18432,,,9,0.788888888888889,982.5,25,731,,,,,,,,,,
19000,0.0,1000.0,,,,,,-0.031127849701442757,90,0.2,0.1826171875,0.0003,-0.03189132362604141,0.002211286848250893,0.01743522,0.9016679674386978,-6.427090281248093
20000,0.0,1000.0,,,,,,,,,,,,,,,
