time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates
1000,1000.0,0.0,,,,,,,,,,,,,,,
2000,1000.0,0.0,,,,,,,,,,,,,,,
2048,,,77,1000.0,26,1,0.6499999999999999,,,,,,,,,,
3000,1000.0,0.0,,,,,,-0.0478505976498127,-6.539278371632099,0.0003,0.165966796875,0.2,0.01201032996214053,0.017780222,0.8465347141027451,-0.027338605420663954,10
4000,1000.0,0.0,,,,,,,,,,,,,,,
4096,,,160,979.5,25,2,0.7,,,,,,,,,,
5000,1000.0,0.0,,,,,,-0.044300030916929245,-6.518160630762577,0.0003,0.1408203125,0.2,0.005986437499814201,0.013875651,0.8663434088230133,-0.026793281664140522,20
6000,1000.0,0.0,,,,,,,,,,,,,,,
6144,,,242,1000.0,25,3,0.75,,,,,,,,,,
7000,1000.0,0.0,,,,,,-0.05202338099479675,-6.496009330451488,0.0003,0.159326171875,0.2,0.0037803630712005543,0.014758365,0.8675510585308075,-0.02270268805732485,30
8000,1000.0,0.0,,,,,,,,,,,,,,,
8192,,,325,1000.0,25,4,0.6875,,,,,,,,,,
9000,1000.0,0.0,,,,,,-0.03337843343615532,-6.506969358026981,0.0003,0.16162109375,0.2,0.005241582248709164,0.014202252,0.9256064668297768,-0.02322665367537411,40
10000,1000.0,0.0,,,,,,,,,,,,,,,
10240,,,407,1000.0,25,5,0.6599999999999999,,,,,,,,,,
11000,1000.0,0.0,,,,,,-0.051534079015254974,-6.491943231225013,0.0003,0.169140625,0.2,0.0026814023936822195,0.019679952,0.8987387865781784,-0.025223296505282634,50
12000,1000.0,0.0,,,,,,,,,,,,,,,
12288,,,488,1000.0,25,6,0.65,,,,,,,,,,
13000,1000.0,0.0,,,,,,-0.07641690224409103,-6.480746623873711,0.0003,0.178857421875,0.2,0.002913969982182607,0.020295447,0.8798504769802094,-0.02795441361668054,60
14000,1000.0,0.0,,,,,,,,,,,,,,,
14336,,,569,1000.0,25,7,0.6714285714285715,,,,,,,,,,
15000,1000.0,0.0,,,,,,-0.023934844881296158,-6.456204782426357,0.0003,0.1837890625,0.2,0.002319574744797137,0.01562713,0.8278407007455826,-0.030238451386685482,70
16000,1000.0,0.0,,,,,,,,,,,,,,,
16384,,,650,1000.0,25,8,0.6625,,,,,,,,,,
17000,1000.0,0.10000000149011612,,,,,,-0.042374834418296814,-6.445390763878822,0.0003,0.17822265625,0.2,0.0016746442413023033,0.017148996,0.8765883445739746,-0.026506173363304696,80
18000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
18432,,,731,1000.0,25,9,0.6777777777777777,,,,,,,,,,
19000,1000.0,0.10000000149011612,,,,,,-0.03915431722998619,-6.437360328435898,0.0003,0.153271484375,0.2,0.00227099196636118,0.013310635,0.8407277166843414,-0.022548351029399782,90
20000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
20480,,,812,1000.0,25,10,0.6699999999999999,,,,,,,,,,
21000,1000.0,0.0,,,,,,0.01480097882449627,-6.447055587172509,0.0003,0.1552734375,0.2,0.001069248939256795,0.013705027,0.7337836027145386,-0.021212231530807913,100
22000,1000.0,0.0,,,,,,,,,,,,,,,
22528,,,893,988.1818181818181,25,11,0.6818181818181818,,,,,,,,,,
23000,1000.0,0.0,,,,,,-0.0042596058920025826,-6.454303766787052,0.0003,0.17802734375,0.2,0.003118637524130463,0.017700851,0.8817115426063538,-0.028426683478755876,110
24000,1000.0,0.0,,,,,,,,,,,,,,,
24576,,,974,1000.0,25,12,0.7041666666666666,,,,,,,,,,
25000,1000.0,0.0,,,,,,-0.01360987313091755,-6.399374277889729,0.0003,0.162158203125,0.2,0.001454475552736767,0.014104016,0.8039907664060593,-0.020144210042781198,120
26000,1000.0,0.0,,,,,,,,,,,,,,,
26624,,,1055,1000.0,25,13,0.7038461538461539,,,,,,,,,,
27000,1000.0,0.0,,,,,,-0.03007914125919342,-6.422888450324535,0.0003,0.18671875,0.2,0.0011475279634851176,0.017885882,0.6568218171596527,-0.02763782467227429,130
28000,1000.0,0.0,,,,,,,,,,,,,,,
28672,,,1137,1000.0,25,14,0.6964285714285715,,,,,,,,,,
29000,1000.0,0.0,,,,,,-0.057284876704216,-6.366033977270126,0.0003,0.165673828125,0.2,0.0009453259760675792,0.016454935,0.8099246174097061,-0.021776043601857965,140
30000,1000.0,0.0,,,,,,,,,,,,,,,
30720,,,1218,1000.0,25,15,0.6933333333333335,,,,,,,,,,
31000,1000.0,0.0,,,,,,-0.0356462337076664,-6.3435003265738485,0.0003,0.166552734375,0.2,0.001633379252598388,0.014732955,0.6919664442539215,-0.022544332552934067,150
32000,1000.0,0.0,,,,,,,,,,,,,,,
32768,,,1299,1000.0,25,16,0.7,,,,,,,,,,
33000,1000.0,0.0,,,,,,-0.051357630640268326,-6.359106589853764,0.0003,0.172509765625,0.2,0.00100944784044259,0.014408044,0.8405624330043793,-0.023709739246987736,160
34000,1000.0,0.0,,,,,,,,,,,,,,,
34816,,,1380,1000.0,25,17,0.7000000000000001,,,,,,,,,,
35000,1000.0,0.0,,,,,,-0.024912480264902115,-6.3087327286601065,0.0003,0.1388671875,0.2,0.0005001955458283191,0.012970004,0.7300068140029907,-0.02155215333623346,170
