time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/loss
1000,1000.0,0.0,,,,,,,,,,,,,,,
2000,1000.0,0.0,,,,,,,,,,,,,,,
2048,,,26,835.0,1,78,0.75,,,,,,,,,,
3000,1000.0,0.0,,,,,,0.0003,0.146533203125,0.01517215,10,0.2,-6.541510063409805,0.6739290654659271,0.019043954894004855,-0.027875422296347097,-0.024076413363218307
4000,1000.0,0.0,,,,,,,,,,,,,,,
4096,,,25,989.75,2,160,0.9,,,,,,,,,,
5000,1000.0,0.0,,,,,,0.0003,0.182373046875,0.01825938,20,0.2,-6.513115841150284,0.8941202238202095,0.0045589868072966055,-0.02509080042655114,-0.056248072534799576
6000,1000.0,0.0,,,,,,,,,,,,,,,
6144,,,25,1000.0,3,242,0.8166666666666665,,,,,,,,,,
7000,1000.0,0.0,,,,,,0.0003,0.18046875,0.017228538,30,0.2,-6.509288194775581,0.6971110701560974,0.00815854592656251,-0.02972941484185867,-0.040932029485702515
8000,1000.0,0.0,,,,,,,,,,,,,,,
8192,,,25,1000.0,4,325,0.75,,,,,,,,,,
9000,1000.0,0.0,,,,,,0.0003,0.104638671875,0.011991855,40,0.2,-6.500179213285446,0.8992106467485428,0.003617396084655411,-0.013338939924142323,0.007273031864315271
10000,1000.0,0.0,,,,,,,,,,,,,,,
10240,,,25,1000.0,5,406,0.76,,,,,,,,,,
11000,1000.0,0.0,,,,,,0.0003,0.17890625,0.016259572,50,0.2,-6.49808693677187,0.6940777897834778,0.0033586347941309213,-0.023406654424616136,-0.012287645600736141
12000,1000.0,0.0,,,,,,,,,,,,,,,
12288,,,25,1000.0,6,487,0.7999999999999999,,,,,,,,,,
13000,1000.0,0.0,,,,,,0.0003,0.1654296875,0.014724098,60,0.2,-6.484002204239369,0.7710321396589279,0.0028223130755577587,-0.02746023652725853,-0.03472203016281128
14000,1000.0,0.0,,,,,,,,,,,,,,,
14336,,,25,1000.0,7,568,0.8428571428571429,,,,,,,,,,
15000,1000.0,0.0,,,,,,0.0003,0.170654296875,0.013875114,70,0.2,-6.481892764568329,0.7123555243015289,0.0031424660483025946,-0.030938935693120583,-0.04185895249247551
16000,1000.0,0.0,,,,,,,,,,,,,,,
16384,,,25,1000.0,8,649,0.8374999999999999,,,,,,,,,,
17000,1000.0,0.0,,,,,,0.0003,0.16767578125,0.016499076,80,0.2,-6.4552757576107975,0.8382448852062225,0.0024562627550039906,-0.027267511060927063,-0.030727444216609
18000,1000.0,0.0,,,,,,,,,,,,,,,
18432,,,25,1000.0,9,730,0.861111111111111,,,,,,,,,,
19000,1000.0,0.0,,,,,,0.0003,0.197705078125,0.017306833,90,0.2,-6.4504729300737385,0.757228285074234,0.002908396925886336,-0.02785006732738111,-0.04107600450515747
20000,1000.0,0.0,,,,,,,,,,,,,,,
20480,,,25,1000.0,10,811,0.8399999999999999,,,,,,,,,,
21000,1000.0,0.0,,,,,,0.0003,0.163134765625,0.016799496,100,0.2,-6.439295664429665,0.7886824756860733,0.0013192798171075993,-0.027934878223459237,-0.058459628373384476
22000,1000.0,0.0,,,,,,,,,,,,,,,
22528,,,25,1000.0,11,892,0.8409090909090907,,,,,,,,,,
23000,1000.0,0.10000000149011612,,,,,,0.0003,0.158154296875,0.014908725,110,0.2,-6.44349245429039,0.8105569630861282,0.0020788182398973733,-0.02600237524820841,-0.039807479828596115
24000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
24576,,,25,1000.0,12,973,0.8166666666666668,,,,,,,,,,
25000,1000.0,0.0,,,,,,0.0003,0.191650390625,0.01742739,120,0.2,-6.431725047528744,0.7459405958652496,0.0018331120287257362,-0.027317795873386785,-0.03896481543779373
26000,1000.0,0.0,,,,,,,,,,,,,,,
26624,,,25,1000.0,13,1054,0.8076923076923077,,,,,,,,,,
27000,1000.0,0.0,,,,,,0.0003,0.224365234375,0.019204814,130,0.2,-6.3990159153938295,0.8384000062942505,0.0017476798303505347,-0.026567250015796164,0.028458254411816597
28000,1000.0,0.0,,,,,,,,,,,,,,,
28672,,,25,1000.0,14,1135,0.8,,,,,,,,,,
29000,1000.0,0.0,,,,,,0.0003,0.161474609375,0.016323319,140,0.2,-6.3993522197008135,0.6721591055393219,0.002150933478515071,-0.02867360171803739,-0.03420228138566017
30000,1000.0,0.0,,,,,,,,,,,,,,,
30720,,,25,1000.0,15,1217,0.8000000000000002,,,,,,,,,,
31000,1000.0,0.0,,,,,,0.0003,0.18291015625,0.016121227,150,0.2,-6.38727917522192,0.9216702207922935,0.0003433819202200539,-0.0302190906542819,-0.03220047056674957
32000,1000.0,0.0,,,,,,,,,,,,,,,
32768,,,25,995.125,16,1298,0.796875,,,,,,,,,,
33000,1000.0,0.0,,,,,,0.0003,0.147216796875,0.014255166,160,0.2,-6.3158038556575775,0.6554324328899384,0.0015887399538769386,-0.023544223327189685,-0.03118729405105114
34000,1000.0,0.0,,,,,,,,,,,,,,,
34816,,,25,992.2941176470588,17,1379,0.8147058823529412,,,,,,,,,,
35000,1000.0,0.0,,,,,,0.0003,0.17373046875,0.016074937,170,0.2,-6.339585512876511,0.8427789807319641,0.0015262035762134475,-0.027007565592066386,-0.018601268529891968
