time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates
1000,0.0,1000.0,,,,,,,,,,,,,,,
2000,0.0,1000.0,,,,,,,,,,,,,,,
2048,,,78,1,26,1000.0,0.9,,,,,,,,,,
3000,0.0,1000.0,,,,,,0.2,-0.02776164903480094,-0.00773082859814167,0.028541316501650725,0.0003,0.8004173189401627,0.015808385,-6.540434466302395,0.15234375,10
4000,0.0,1000.0,,,,,,,,,,,,,,,
4096,,,160,2,25,1000.0,0.725,,,,,,,,,,
5000,0.10000000149011612,1000.0,,,,,,0.2,-0.021466439025243745,0.017788980156183243,0.007963252184708836,0.0003,0.8776959925889969,0.017768053,-6.5253745168447495,0.15029296875,20
6000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
6144,,,242,3,25,999.3333333333334,0.7333333333333334,,,,,,,,,,
7000,0.10000000149011612,1000.0,,,,,,0.2,-0.026011860743165017,-0.008494756184518337,0.007534671964094741,0.0003,0.8546648025512695,0.01786175,-6.511680071055889,0.15,30
8000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
8192,,,325,4,25,1000.0,0.75,,,,,,,,,,
9000,0.0,1000.0,,,,,,0.2,-0.029428656995878554,-0.04473375901579857,0.007883907022187487,0.0003,0.851564809679985,0.016119935,-6.495880801975727,0.1837890625,40
10000,0.0,1000.0,,,,,,,,,,,,,,,
10240,,,406,5,25,1000.0,0.8,,,,,,,,,,
11000,0.0,1000.0,,,,,,0.2,-0.025437670311657713,0.02544471062719822,0.006661432119653909,0.0003,0.8561548441648483,0.015179725,-6.480711016058922,0.155029296875,50
12000,0.0,1000.0,,,,,,,,,,,,,,,
12288,,,487,6,25,1000.0,0.7833333333333333,,,,,,,,,,
13000,0.0,1000.0,,,,,,0.2,-0.02374098888540175,-0.04799133911728859,0.0018429880159601454,0.0003,0.9026469215750694,0.019350454,-6.483688925206661,0.179931640625,60
14000,0.0,1000.0,,,,,,,,,,,,,,,
14336,,,568,7,25,1000.0,0.7642857142857142,,,,,,,,,,
15000,0.0,1000.0,,,,,,0.2,-0.031141800855402836,-0.0536494180560112,0.00181956708756843,0.0003,0.8514268100261688,0.017188206,-6.476783128082753,0.1927734375,70
16000,0.0,1000.0,,,,,,,,,,,,,,,
16384,,,649,8,25,1000.0,0.7375,,,,,,,,,,
17000,0.0,1000.0,,,,,,0.2,-0.02132250138092786,-0.011847357265651226,0.0009245565361652552,0.0003,0.8569758087396622,0.015207112,-6.434814444184303,0.1681640625,80
18000,0.0,1000.0,,,,,,,,,,,,,,,
18432,,,730,9,25,1000.0,0.7277777777777777,,,,,,,,,,
19000,0.0,1000.0,,,,,,0.2,-0.023157335988071282,-0.023070821538567543,0.0012005258836325083,0.0003,0.9026008695363998,0.015107175,-6.3924688085913655,0.165771484375,90
