eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance
0.0,1000.0,1000,,,,,,,,,,,,,,,
0.0,1000.0,2000,,,,,,,,,,,,,,,
,,2048,78,0.95,26,1000.0,1,,,,,,,,,,
0.0,1000.0,3000,,,,,,-0.03806045651435852,-6.541264942288398,0.02045667831553146,0.0003,0.151025390625,-0.025954955551424064,0.015280604,10,0.2,0.7385828793048859
0.0,1000.0,4000,,,,,,,,,,,,,,,
,,4096,160,0.8250000000000001,25,1000.0,2,,,,,,,,,,
0.0,1000.0,5000,,,,,,-0.05856212228536606,-6.524427442252636,0.008640525550072197,0.0003,0.19111328125,-0.02726123785105301,0.018079638,20,0.2,0.9226789399981499
0.0,1000.0,6000,,,,,,,,,,,,,,,
,,6144,243,0.7666666666666666,25,1000.0,3,,,,,,,,,,
0.0,1000.0,7000,,,,,,-0.052275609225034714,-6.498789145052433,0.0030982575881353114,0.0003,0.198193359375,-0.025733788119396195,0.019458672,30,0.2,0.8812074288725853
0.0,1000.0,8000,,,,,,,,,,,,,,,
,,8192,326,0.7374999999999999,25,1000.0,4,,,,,,,,,,
0.0,1000.0,9000,,,,,,-0.020566456019878387,-6.507857248187065,0.00527353169163689,0.0003,0.150244140625,-0.025792003844981082,0.01531962,40,0.2,0.8393074721097946
0.0,1000.0,10000,,,,,,,,,,,,,,,
,,10240,408,0.71,25,1000.0,5,,,,,,,,,,
0.0,1000.0,11000,,,,,,-0.007106872275471687,-6.4929872274398805,0.006643478917249012,0.0003,0.17177734375,-0.023700697452295572,0.016300578,50,0.2,0.7804789543151855
0.0,1000.0,12000,,,,,,,,,,,,,,,
,,12288,489,0.6833333333333332,25,1000.0,6,,,,,,,,,,
0.0,1000.0,13000,,,,,,-0.05838819593191147,-6.454520845413208,0.0019097739986136731,0.0003,0.187451171875,-0.02692156338598579,0.016377516,60,0.2,0.8078535348176956
0.0,1000.0,14000,,,,,,,,,,,,,,,
,,14336,570,0.7000000000000001,25,1000.0,7,,,,,,,,,,
0.0,1000.0,15000,,,,,,-0.014536230824887753,-6.481987139582634,0.005044674117743853,0.0003,0.171630859375,-0.028084322580252775,0.015748883,70,0.2,0.8498636335134506
0.0,1000.0,16000,,,,,,,,,,,,,,,
,,16384,651,0.6812499999999999,25,1000.0,8,,,,,,,,,,
0.0,1000.0,17000,,,,,,-0.07550299167633057,-6.473519079387188,0.0030035290377782077,0.0003,0.1728515625,-0.026318073412403463,0.016039494,80,0.2,0.9101090654730797
0.0,1000.0,18000,,,,,,,,,,,,,,,
,,18432,732,0.6888888888888888,25,1000.0,9,,,,,,,,,,
0.0,1000.0,19000,,,,,,-0.014248120598495007,-6.449671624600887,0.005717926310171606,0.0003,0.148095703125,-0.01606693193607498,0.013539052,90,0.2,0.8671312779188156
0.0,1000.0,20000,,,,,,,,,,,,,,,
,,20480,813,0.655,25,1000.0,10,,,,,,,,,,
0.0,1000.0,21000,,,,,,-0.027431748807430267,-6.4158506214618685,0.0010379347520029115,0.0003,0.177099609375,-0.024205949701718056,0.016488642,100,0.2,0.939583208411932
0.0,1000.0,22000,,,,,,,,,,,,,,,
,,22528,895,0.6454545454545454,25,1000.0,11,,,,,,,,,,
0.0,1000.0,23000,,,,,,-0.055515825748443604,-6.432809671759605,0.003273988253022253,0.0003,0.186865234375,-0.025240414107975083,0.01670262,110,0.2,0.8439892679452896
0.0,1000.0,24000,,,,,,,,,,,,,,,
,,24576,977,0.6458333333333334,25,1000.0,12,,,,,,,,,,
0.0,1000.0,25000,,,,,,-0.04722818359732628,-6.439712703227997,0.0023482310626604884,0.0003,0.201416015625,-0.028505114041035996,0.01710891,120,0.2,0.8774636834859848
0.0,1000.0,26000,,,,,,,,,,,,,,,
,,26624,1058,0.6384615384615385,25,1000.0,13,,,,,,,,,,
0.0,1000.0,27000,,,,,,-0.01614120975136757,-6.409017354249954,0.0016767357114076732,0.0003,0.14384765625,-0.023277096325182357,0.013687871,130,0.2,0.8156244903802872
0.0,1000.0,28000,,,,,,,,,,,,,,,
,,28672,1140,0.6500000000000001,25,1000.0,14,,,,,,,,,,
0.0,1000.0,29000,,,,,,-0.04188467189669609,-6.4121851593256,0.0015799163187693922,0.0003,0.163671875,-0.026136858825339004,0.015700102,140,0.2,0.8205173313617706
0.0,1000.0,30000,,,,,,,,,,,,,,,
,,30720,1221,0.6500000000000001,25,1000.0,15,,,,,,,,,,
0.0,1000.0,31000,,,,,,-0.02777130901813507,-6.423614646494388,0.002449827409145655,0.0003,0.168896484375,-0.01881857053958811,0.016392415,150,0.2,0.8038637787103653
0.0,1000.0,32000,,,,,,,,,,,,,,,
,,32768,1303,0.64375,25,1000.0,16,,,,,,,,,,
0.0,1000.0,33000,,,,,,-0.05010269954800606,-6.3837590396404265,0.0011464616196462884,0.0003,0.17763671875,-0.022724863651092164,0.016973486,160,0.2,0.8210334181785583
0.0,1000.0,34000,,,,,,,,,,,,,,,
,,34816,1384,0.6323529411764706,25,1000.0,17,,,,,,,,,,
0.0,1000.0,35000,,,,,,-0.03695005178451538,-6.359796746075153,0.0011764223400859918,0.0003,0.193017578125,-0.02452277286793105,0.017957378,170,0.2,0.607040286064148
0.0,1000.0,36000,,,,,,,,,,,,,,,
,,36864,1466,0.6527777777777778,25,994.9166666666666,18,,,,,,,,,,
