eval/mean_ep_length,time/total_timesteps,eval/mean_reward,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/n_updates,train/explained_variance
50.0,1000,0.0,,,,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,,,,
,2048,,0.11499999999999999,19,1,102,50.0,,,,,,,,,,
50.0,3000,0.0,,,,,,-0.01861488177528372,0.161962890625,-5.153725837171078,0.015963929,0.008899736039165874,-0.03951563313603401,0.0003,0.2,10,-0.37324023246765137
50.0,4000,0.0,,,,,,,,,,,,,,,
,4096,,0.10123456790123456,19,2,207,50.0,,,,,,,,,,
50.0,5000,0.0,,,,,,-0.015364194178255275,0.14658203125,-5.128361071646213,0.01310749,0.0036493847863312114,0.059892334043979645,0.0003,0.2,20,-0.2656877040863037
50.0,6000,0.0,,,,,,,,,,,,,,,
,6144,,0.102,19,3,311,50.0,,,,,,,,,,
50.0,7000,0.0,,,,,,-0.017903692719119135,0.152490234375,-5.106445090472699,0.013437867,0.0022725782109773718,-0.01856907084584236,0.0003,0.2,30,-0.26286864280700684
50.0,8000,0.0,,,,,,,,,,,,,,,
,8192,,0.10499999999999998,19,4,415,50.0,,,,,,,,,,
50.0,9000,0.0,,,,,,-0.014359425561269745,0.142236328125,-5.073070128262043,0.014480833,0.0015360396544565446,-0.02591724693775177,0.0003,0.2,40,0.10216313600540161
50.0,10000,0.0,,,,,,,,,,,,,,,
,10240,,0.122,19,5,519,50.0,,,,,,,,,,
50.0,11000,0.0,,,,,,-0.01711937722575385,0.16455078125,-5.0420866593718525,0.011085574,0.0014246266791815287,-0.03024781309068203,0.0003,0.2,50,0.2988523244857788
50.0,12000,0.0,,,,,,,,,,,,,,,
,12288,,0.132,19,6,623,50.0,,,,,,,,,,
50.0,13000,0.0,,,,,,-0.01200783543754369,0.11943359375,-5.012896074354648,0.009694628,0.0011875192894876818,-0.009800572879612446,0.0003,0.2,60,0.38224679231643677
50.0,14000,0.0,,,,,,,,,,,,,,,
,14336,,0.142,19,7,727,49.78,,,,,,,,,,
50.0,15000,0.0,,,,,,-0.017286034257267602,0.148974609375,-4.97440552264452,0.013204062,0.0013748393408604897,-0.030800621956586838,0.0003,0.2,70,0.49630558490753174
50.0,16000,0.0,,,,,,,,,,,,,,,
,16384,,0.14200000000000002,19,8,831,50.0,,,,,,,,,,
