eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss
50.0,0.0,1000,,,,,,,,,,,,,,,
50.0,0.0,2000,,,,,,,,,,,,,,,
,,2048,1,50.0,19,102,0.0925,,,,,,,,,,
50.0,0.0,3000,,,,,,-0.16621804237365723,0.2,0.011666788,0.151904296875,-5.156165765225888,0.10053427973762155,0.0003,10,-0.01771822594164405,0.04800748452544212
50.0,0.0,4000,,,,,,,,,,,,,,,
,,4096,2,50.0,19,208,0.09753086419753088,,,,,,,,,,
50.0,0.0,5000,,,,,,-0.10760807991027832,0.2,0.013463546,0.145654296875,-5.13974389731884,0.03161477908142842,0.0003,20,-0.012490790343144908,0.0347306951880455
50.0,0.0,6000,,,,,,,,,,,,,,,
,,6144,3,50.0,19,313,0.10099999999999998,,,,,,,,,,
50.0,0.10000000149011612,7000,,,,,,-0.163413405418396,0.2,0.014422833,0.13779296875,-5.1208073303103445,0.004616648665978574,0.0003,30,-0.016153134472551754,-0.04402456432580948
50.0,0.10000000149011612,8000,,,,,,,,,,,,,,,
,,8192,4,50.0,19,417,0.10099999999999999,,,,,,,,,,
50.0,0.10000000149011612,9000,,,,,,0.19257766008377075,0.2,0.015499713,0.169091796875,-5.080786263942718,0.0020633606327464804,0.0003,40,-0.01857266742445063,-0.032337334007024765
50.0,0.10000000149011612,10000,,,,,,,,,,,,,,,
,,10240,5,50.0,19,521,0.11199999999999997,,,,,,,,,,
50.0,0.10000000149011612,11000,,,,,,0.3925086259841919,0.2,0.012355424,0.1458984375,-5.053217154741287,0.0015193377577816137,0.0003,50,-0.015612798268557526,-0.011115482077002525
50.0,0.10000000149011612,12000,,,,,,,,,,,,,,,
,,12288,6,50.0,19,625,0.13499999999999998,,,,,,,,,,
50.0,0.10000000149011612,13000,,,,,,0.3983643651008606,0.2,0.010901725,0.1365234375,-5.024045231938362,0.0014690059315398685,0.0003,60,-0.013374004268553109,-0.004924587439745665
50.0,0.10000000149011612,14000,,,,,,,,,,,,,,,
,,14336,7,50.0,19,728,0.14699999999999996,,,,,,,,,,
50.0,0.10000000149011612,15000,,,,,,0.3435226082801819,0.2,0.015767682,0.146240234375,-4.98960028141737,0.001290676887583686,0.0003,70,-0.015090125484857709,-0.021495187655091286
50.0,0.10000000149011612,16000,,,,,,,,,,,,,,,
,,16384,8,49.79,19,832,0.15,,,,,,,,,,
50.0,0.10000000149011612,17000,,,,,,0.4501408338546753,0.2,0.015336538,0.172265625,-4.952279740571976,0.0016571135718550067,0.0003,80,-0.019030247794580644,-0.011317258700728416
50.0,0.10000000149011612,18000,,,,,,,,,,,,,,,
,,18432,9,49.99,19,936,0.17300000000000001,,,,,,,,,,
50.0,0.10000000149011612,19000,,,,,,0.44938063621520996,0.2,0.0124798585,0.1595703125,-4.8837050825357435,0.001531340411384008,0.0003,90,-0.017792986845597623,-0.03970404341816902
50.0,0.10000000149011612,20000,,,,,,,,,,,,,,,
,,20480,10,50.0,19,1040,0.17600000000000002,,,,,,,,,,
50.0,0.10000000149011612,21000,,,,,,0.5558792054653168,0.2,0.01183304,0.14765625,-4.849406863749027,0.0012674481751673739,0.0003,100,-0.01613811661663931,-0.03708962723612785
50.0,0.10000000149011612,22000,,,,,,,,,,,,,,,
,,22528,11,50.0,19,1144,0.20200000000000004,,,,,,,,,,
50.0,0.10000000149011612,23000,,,,,,0.5645684003829956,0.2,0.016223103,0.183544921875,-4.785858742892742,0.0014868879026835203,0.0003,110,-0.021670758514665066,-0.008331110700964928
50.0,0.10000000149011612,24000,,,,,,,,,,,,,,,
,,24576,12,50.0,19,1248,0.20600000000000004,,,,,,,,,,
50.0,0.10000000149011612,25000,,,,,,0.6426973342895508,0.2,0.01304757,0.158740234375,-4.744971083104611,0.0013449793694235268,0.0003,120,-0.017253882059594616,-0.03095017746090889
50.0,0.10000000149011612,26000,,,,,,,,,,,,,,,
,,26624,13,49.86,19,1352,0.23800000000000002,,,,,,,,,,
50.0,0.10000000149011612,27000,,,,,,0.6585257649421692,0.2,0.016448174,0.18935546875,-4.730626894533634,0.0013673081575689139,0.0003,130,-0.02064691161212977,-0.049672000110149384
50.0,0.10000000149011612,28000,,,,,,,,,,,,,,,
,,28672,14,48.24,19,1455,0.275,,,,,,,,,,
50.0,0.10000000149011612,29000,,,,,,0.6892024576663971,0.2,0.0119780535,0.16845703125,-4.6465963393449785,0.0016889132928554317,0.0003,140,-0.020728226291248576,-0.031052138656377792
50.0,0.10000000149011612,30000,,,,,,,,,,,,,,,
