time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_range
1000,0.0,50.0,,,,,,,,,,,,,,,
2000,0.0,50.0,,,,,,,,,,,,,,,
2048,,,0.1025,1,102,50.0,19,,,,,,,,,,
3000,0.0,50.0,,,,,,0.0128662605,-5.155393069982528,-0.04227136820554733,0.0003,0.165380859375,-0.01969977862900123,-0.41499340534210205,10,0.015634257667989003,0.2
4000,0.0,50.0,,,,,,,,,,,,,,,
4096,,,0.09999999999999999,2,209,50.0,19,,,,,,,,,,
5000,0.0,50.0,,,,,,0.012761474,-5.139848479628563,-0.05043039098381996,0.0003,0.143310546875,-0.01689391387917567,-0.34008073806762695,20,0.004710289328795625,0.2
6000,0.0,50.0,,,,,,,,,,,,,,,
6144,,,0.09399999999999999,3,315,50.0,19,,,,,,,,,,
7000,0.10000000149011612,50.0,,,,,,0.012451157,-5.119451543688774,-0.02144826017320156,0.0003,0.1232421875,-0.012799512161291205,-0.382814884185791,30,0.001509396714027389,0.2
8000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
8192,,,0.08999999999999998,4,420,50.0,19,,,,,,,,,,
9000,0.0,50.0,,,,,,0.018137608,-5.087390428781509,-0.0010123903630301356,0.0003,0.158740234375,-0.017609227588400243,-0.11072111129760742,40,0.00127447627046422,0.2
10000,0.0,50.0,,,,,,,,,,,,,,,
10240,,,0.11699999999999999,5,524,50.0,19,,,,,,,,,,
11000,0.0,50.0,,,,,,0.012269151,-5.0575083389878275,-0.026974119246006012,0.0003,0.143017578125,-0.018792938120895997,-0.4599909782409668,50,0.0017483122426710906,0.2
12000,0.0,50.0,,,,,,,,,,,,,,,
12288,,,0.13,6,629,50.0,19,,,,,,,,,,
13000,0.0,50.0,,,,,,0.0135210045,-5.015092158317566,-0.013723730109632015,0.0003,0.181982421875,-0.02079626703634858,0.2892369031906128,60,0.0010684549544748734,0.2
14000,0.0,50.0,,,,,,,,,,,,,,,
14336,,,0.132,7,733,50.0,19,,,,,,,,,,
15000,0.0,50.0,,,,,,0.0133911595,-4.988902042806148,0.03730681911110878,0.0003,0.143798828125,-0.015457174746552482,-0.008399248123168945,70,0.0018965156028571072,0.2
16000,0.0,50.0,,,,,,,,,,,,,,,
16384,,,0.148,8,837,50.0,19,,,,,,,,,,
17000,0.20000000298023224,50.0,,,,,,0.0117537975,-4.9429247543215755,-0.03285868093371391,0.0003,0.145751953125,-0.017124623878044077,0.24222785234451294,80,0.0019533427966962336,0.2
18000,0.20000000298023224,50.0,,,,,,,,,,,,,,,
