eval/mean_ep_length,time/total_timesteps,eval/mean_reward,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/explained_variance
50.0,1000,0.0,,,,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,,,,
,2048,,0.0925,19,102,1,50.0,,,,,,,,,,
50.0,3000,0.0,,,,,,0.014065632,-0.01926429755112622,0.14033203125,0.03699853120779153,10,0.0003,-0.055566590279340744,0.2,-5.1540675342082976,-0.12115788459777832
50.0,4000,0.0,,,,,,,,,,,,,,,
,4096,,0.10246913580246915,19,209,2,50.0,,,,,,,,,,
50.0,5000,0.0,,,,,,0.014836172,-0.01925200177647639,0.142236328125,0.009911243831447791,20,0.0003,0.04540494084358215,0.2,-5.136969704926014,-0.058029890060424805
50.0,6000,0.0,,,,,,,,,,,,,,,
,6144,,0.10899999999999999,19,315,3,50.0,,,,,,,,,,
50.0,7000,0.10000000149011612,,,,,,0.014730524,-0.014127724486752414,0.132568359375,0.006352115129266167,30,0.0003,-0.012524530291557312,0.2,-5.1016579672694204,-0.7059075832366943
50.0,8000,0.10000000149011612,,,,,,,,,,,,,,,
,8192,,0.114,19,420,4,50.0,,,,,,,,,,
50.0,9000,0.10000000149011612,,,,,,0.016563848,-0.01622622714494355,0.155126953125,0.0027958883576502556,40,0.0003,-0.01528710313141346,0.2,-5.0670033797621725,-0.43695056438446045
50.0,10000,0.10000000149011612,,,,,,,,,,,,,,,
,10240,,0.11399999999999999,19,525,5,49.98,,,,,,,,,,
50.0,11000,0.10000000149011612,,,,,,0.014041916,-0.01575793842494022,0.175439453125,0.0019011617921933066,50,0.0003,-0.0004963746760040522,0.2,-5.033381019532681,-0.35139167308807373
50.0,12000,0.10000000149011612,,,,,,,,,,,,,,,
,12288,,0.12899999999999998,19,630,6,50.0,,,,,,,,,,
50.0,13000,0.10000000149011612,,,,,,0.014320648,-0.0179791378279333,0.172021484375,0.0013771334979537642,60,0.0003,-0.03668740764260292,0.2,-5.002932721376419,0.41935813426971436
50.0,14000,0.10000000149011612,,,,,,,,,,,,,,,
,14336,,0.13799999999999998,19,734,7,50.0,,,,,,,,,,
50.0,15000,0.20000000298023224,,,,,,0.012848074,-0.014705486054299399,0.143115234375,0.0012274021702978644,70,0.0003,-0.014750247821211815,0.2,-4.973831033706665,0.3698428273200989
50.0,16000,0.20000000298023224,,,,,,,,,,,,,,,
