eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction
50.0,0.0,1000,,,,,,,,,,,,,,,
50.0,0.0,2000,,,,,,,,,,,,,,,
,,2048,50.0,102,0.09,19,1,,,,,,,,,,
50.0,0.0,3000,,,,,,-5.155062980949879,-0.016364196012727917,-0.3534342050552368,-0.0416768342256546,0.0003,0.2,0.014609481,10,0.021419469545071478,0.131103515625
50.0,0.0,4000,,,,,,,,,,,,,,,
,,4096,50.0,208,0.09135802469135802,19,2,,,,,,,,,,
50.0,0.0,5000,,,,,,-5.130529327690601,-0.02015457131055882,-0.7519479990005493,-0.030781865119934082,0.0003,0.2,0.019808564,20,0.00832454732590122,0.169189453125
50.0,0.0,6000,,,,,,,,,,,,,,,
,,6144,50.0,315,0.10300000000000001,19,3,,,,,,,,,,
50.0,0.0,7000,,,,,,-5.106223805248737,-0.021143999535706826,-0.4310152530670166,0.024212900549173355,0.0003,0.2,0.019106813,30,0.002821922423390788,0.18466796875
50.0,0.0,8000,,,,,,,,,,,,,,,
,,8192,50.0,421,0.115,19,4,,,,,,,,,,
50.0,0.0,9000,,,,,,-5.077547156810761,-0.014646877284394576,-0.2840433120727539,-0.0028688651509582996,0.0003,0.2,0.015238524,40,0.0017250804719878942,0.1591796875
50.0,0.0,10000,,,,,,,,,,,,,,,
,,10240,50.0,526,0.13299999999999998,19,5,,,,,,,,,,
50.0,0.0,11000,,,,,,-5.056518423557281,-0.01640699174022302,0.33685654401779175,-0.005271164234727621,0.0003,0.2,0.013162866,50,0.001480225718660222,0.1537109375
50.0,0.0,12000,,,,,,,,,,,,,,,
,,12288,50.0,632,0.134,19,6,,,,,,,,,,
50.0,0.0,13000,,,,,,-5.028525185585022,-0.0145223387691658,0.34765011072158813,-0.017705773934721947,0.0003,0.2,0.011222183,60,0.001483681259014702,0.127783203125
50.0,0.0,14000,,,,,,,,,,,,,,,
,,14336,50.0,737,0.13499999999999998,19,7,,,,,,,,,,
50.0,0.0,15000,,,,,,-4.9969892218708996,-0.012503526182263159,0.4294435381889343,-0.014403623528778553,0.0003,0.2,0.00957916,70,0.0014034017744052108,0.120361328125
50.0,0.0,16000,,,,,,,,,,,,,,,
,,16384,50.0,843,0.145,19,8,,,,,,,,,,
50.0,0.0,17000,,,,,,-4.951890638470649,-0.016788282780908048,0.4394407272338867,0.015246972441673279,0.0003,0.2,0.013242496,80,0.0013481795051120571,0.161865234375
50.0,0.0,18000,,,,,,,,,,,,,,,
,,18432,50.0,948,0.17800000000000002,19,9,,,,,,,,,,
50.0,0.0,19000,,,,,,-4.907039834558963,-0.015236277916119433,0.3894575238227844,-0.018665919080376625,0.0003,0.2,0.014049372,90,0.0017460901446611388,0.142138671875
50.0,0.0,20000,,,,,,,,,,,,,,,
,,20480,50.0,1053,0.20000000000000004,19,10,,,,,,,,,,
50.0,0.0,21000,,,,,,-4.831704856455326,-0.014813745139690582,0.5279500484466553,-0.028280362486839294,0.0003,0.2,0.01281168,100,0.0019120533486784552,0.13798828125
50.0,0.0,22000,,,,,,,,,,,,,,,
,,22528,49.98,1158,0.20400000000000001,19,11,,,,,,,,,,
50.0,0.0,23000,,,,,,-4.800250589847565,-0.01845642146363389,0.5725472271442413,0.010738861747086048,0.0003,0.2,0.011148328,110,0.0019378469671210042,0.142138671875
50.0,0.0,24000,,,,,,,,,,,,,,,
,,24576,49.89,1264,0.20600000000000004,19,12,,,,,,,,,,
50.0,0.10000000149011612,25000,,,,,,-4.717041617631912,-0.022803937213029712,0.5846500098705292,-0.032215263694524765,0.0003,0.2,0.015992578,120,0.001851605590854888,0.206640625
50.0,0.10000000149011612,26000,,,,,,,,,,,,,,,
,,26624,49.48,1369,0.21599999999999997,19,13,,,,,,,,,,
50.0,0.10000000149011612,27000,,,,,,-4.6514427900314335,-0.017940498105599546,0.4605790972709656,-0.017085812985897064,0.0003,0.2,0.0125950305,130,0.002325800558537594,0.18076171875
50.0,0.10000000149011612,28000,,,,,,,,,,,,,,,
,,28672,47.54,1474,0.24699999999999997,19,14,,,,,,,,,,
50.0,0.10000000149011612,29000,,,,,,-4.600045795738697,-0.01702854032628238,0.5369756519794464,-0.039068710058927536,0.0003,0.2,0.012062396,140,0.0027351970096788137,0.14951171875
50.0,0.10000000149011612,30000,,,,,,,,,,,,,,,
,,30720,46.8,1578,0.26799999999999996,19,15,,,,,,,,,,
