time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
1000,0.0,50.0,,,,,,,,,,,,,,,
2000,0.0,50.0,,,,,,,,,,,,,,,
2048,,,50.0,19,102,0.12000000000000002,1,,,,,,,,,,
3000,0.0,50.0,,,,,,0.0003,-0.00603010319173336,0.02709813040564768,0.014354633,10,-0.38736093044281006,0.2,-0.014956443922710606,-5.155668930709362,0.131640625
4000,0.0,50.0,,,,,,,,,,,,,,,
4096,,,50.0,19,208,0.09753086419753088,2,,,,,,,,,,
5000,0.0,50.0,,,,,,0.0003,-0.015022443607449532,0.0048976243608194634,0.01717367,20,-0.08734571933746338,0.2,-0.021702125639421865,-5.134255684912205,0.14521484375
6000,0.0,50.0,,,,,,,,,,,,,,,
6144,,,50.0,19,314,0.10499999999999998,3,,,,,,,,,,
7000,0.0,50.0,,,,,,0.0003,-0.010164096020162106,0.0024560493518947625,0.015829448,30,-0.18798065185546875,0.2,-0.016157146921614185,-5.106579041481018,0.16318359375
8000,0.0,50.0,,,,,,,,,,,,,,,
8192,,,50.0,19,420,0.10700000000000001,4,,,,,,,,,,
9000,0.0,50.0,,,,,,0.0003,-0.014207880944013596,0.0014081309665925801,0.011064421,40,0.14729654788970947,0.2,-0.014679548743879422,-5.090097995102406,0.110498046875
10000,0.0,50.0,,,,,,,,,,,,,,,
10240,,,50.0,19,526,0.10099999999999998,5,,,,,,,,,,
11000,0.10000000149011612,50.0,,,,,,0.0003,-0.020632155239582062,0.0012471722462578327,0.015891813,50,0.054514944553375244,0.2,-0.020432030883966945,-5.072949516773224,0.188134765625
12000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
12288,,,50.0,19,631,0.11199999999999999,6,,,,,,,,,,
13000,0.10000000149011612,50.0,,,,,,0.0003,-0.013972603715956211,0.0013732281913689803,0.011868277,60,0.13855254650115967,0.2,-0.016235270991455764,-5.047875139117241,0.141015625
14000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
14336,,,50.0,19,736,0.12299999999999998,7,,,,,,,,,,
15000,0.10000000149011612,50.0,,,,,,0.0003,-0.03107895329594612,0.001321705618101987,0.010397183,70,0.36893773078918457,0.2,-0.013504168164217845,-5.028430977463723,0.125634765625
16000,0.10000000149011612,50.0,,,,,,,,,,,,,,,
16384,,,50.13,19,842,0.132,8,,,,,,,,,,
17000,0.10000000149011612,50.0,,,,,,0.0003,0.0058958884328603745,0.001372121887652611,0.009937494,80,0.3588811159133911,0.2,-0.012633544040727428,-4.9896533831954,0.106982421875
