eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss
10000.0,1000,0.0,,,,,,,,,,,,,
10000.0,2000,0.0,,,,,,,,,,,,,
,2048,,204,10,1,,,,,,,,,,
10000.0,3000,0.0,,,,10,-0.05698830634355545,0.0008655436677997841,0.5501508116722107,0.0003,0.15361328125,0.2,-0.03054595005523879,0.01744909,-8.3728397667408
10000.0,4000,0.0,,,,,,,,,,,,,
,4096,,409,10,2,,,,,,,,,,
10000.0,5000,0.0,,,,20,-0.059538520872592926,0.013427538009636919,0.8575897663831711,0.0003,0.2220703125,0.2,-0.03936660608742386,0.020642359,-8.362406268715858
10000.0,6000,0.0,,,,,,,,,,,,,
,6144,,614,9,3,,,,,,,,,,
10000.0,7000,0.0,,,,30,-0.036813315004110336,0.001773898488318082,0.8565123379230499,0.0003,0.203857421875,0.2,-0.033975000795908275,0.021547604,-8.348622876405717
10000.0,8000,0.0,,,,,,,,,,,,,
,8192,,820,9,4,,,,,,,,,,
10000.0,9000,0.0,,,,40,-0.07304530590772629,0.009845873523954652,0.7761584520339966,0.0003,0.280810546875,0.2,-0.04278001184866298,0.02656268,-8.326118275523186
10000.0,10000,0.0,,,,,,,,,,,,,
,10240,,1025,9,5,,,,,,,,,,
10000.0,11000,0.0,,,,50,-0.03753362596035004,0.013510142486484255,0.8394921272993088,0.0003,0.2353515625,0.2,-0.04314872385002673,0.022002477,-8.328926798701286
10000.0,12000,0.0,,,,,,,,,,,,,
,12288,,1230,9,6,,,,,,,,,,
10000.0,13000,0.0,,,,60,-0.052337437868118286,0.003209659316053148,0.9236674755811691,0.0003,0.2138671875,0.2,-0.04446446582151111,0.021182682,-8.326833879947662
10000.0,14000,0.0,,,,,,,,,,,,,
,14336,,1436,9,7,,,,,,,,,,
10000.0,15000,0.0,,,,70,-0.05878438055515289,0.008322783657058607,0.7490446269512177,0.0003,0.23427734375,0.2,-0.044646632127114574,0.021845218,-8.31841339468956
10000.0,16000,0.0,,,,,,,,,,,,,
,16384,,1641,9,8,,,,,,,,,,
10000.0,17000,0.0,,,,80,-0.076128289103508,0.0042914893350825874,0.566020280122757,0.0003,0.227490234375,0.2,-0.037415626164874996,0.024573611,-8.293188187479974
10000.0,18000,0.0,,,,,,,,,,,,,
,18432,,1846,9,9,,,,,,,,,,
10000.0,19000,0.0,,,,90,-0.055159252136945724,0.0034966559112945108,0.9197278097271919,0.0003,0.23681640625,0.2,-0.04415222901734524,0.021165632,-8.295321157574653
10000.0,20000,0.0,,,,,,,,,,,,,
,20480,,2052,9,10,,,,,,,,,,
10000.0,21000,0.0,,,,100,-0.08060073107481003,0.005586354254228354,0.8445207923650742,0.0003,0.221923828125,0.2,-0.04341920164879411,0.021613998,-8.291011908650399
10000.0,22000,0.0,,,,,,,,,,,,,
,22528,,2257,9,11,,,,,,,,,,
10000.0,23000,0.0,,,,110,-0.07033392041921616,0.002498498303248198,0.8930146545171738,0.0003,0.27197265625,0.2,-0.04039043932571076,0.030294262,-8.228072044253349
10000.0,24000,0.0,,,,,,,,,,,,,
,24576,,2462,9,12,,,,,,,,,,
10000.0,25000,0.0,,,,120,-0.03493424877524376,0.0034505938419897575,0.8784691020846367,0.0003,0.218994140625,0.2,-0.04007201837521279,0.023583548,-8.23852137029171
10000.0,26000,0.0,,,,,,,,,,,,,
,26624,,2668,9,13,,,,,,,,,,
10000.0,27000,0.0,,,,130,-0.05046255514025688,0.002176399821382802,0.8367112576961517,0.0003,0.21474609375,0.2,-0.0395359303947771,0.020566052,-8.228980013728142
10000.0,28000,0.0,,,,,,,,,,,,,
,28672,,2873,9,14,,,,,,,,,,
