eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective
50.0,1000,0.0,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,
,2048,,20,50.0,1,0.09,102,,,,,,,
50.0,3000,0.0,,,,,,1,0.045435913489200175,-0.16144073009490967,0.001,0.006401794962584972,1.0,0.028414728119969368
50.0,4000,0.0,,,,,,,,,,,,
,4096,,20,50.0,2,0.0962962962962963,204,,,,,,,
50.0,5000,0.10000000149011612,,,,,,2,0.014290752046508714,-0.2167433500289917,0.001,0.0061520179733633995,1.0,0.026385297998785973
50.0,6000,0.10000000149011612,,,,,,,,,,,,
,6144,,20,50.0,3,0.102,306,,,,,,,
50.0,7000,0.0,,,,,,3,0.004602064144273754,-0.6267232894897461,0.001,0.0074205538257956505,1.0,0.02226189896464348
50.0,8000,0.0,,,,,,,,,,,,
,8192,,20,50.0,4,0.09699999999999999,408,,,,,,,
50.0,9000,0.0,,,,,,4,0.0016235116680036298,-0.4715648889541626,0.001,0.007457545027136803,1.0,0.023123739287257195
50.0,10000,0.0,,,,,,,,,,,,
,10240,,20,50.0,5,0.094,510,,,,,,,
50.0,11000,0.0,,,,,,5,0.001674368809108273,0.02905482053756714,0.001,0.008002430200576782,1.0,0.021790288388729095
50.0,12000,0.0,,,,,,,,,,,,
,12288,,20,50.0,6,0.092,612,,,,,,,
50.0,13000,0.0,,,,,,6,0.0014251589138439158,-0.02298104763031006,0.001,0.007434041239321232,1.0,0.024983057752251625
50.0,14000,0.0,,,,,,,,,,,,
,14336,,20,50.08,7,0.09999999999999996,715,,,,,,,
50.0,15000,0.0,,,,,,7,0.0014441624087339732,0.13170558214187622,0.001,0.007829071953892708,1.0,0.022373342886567116
50.0,16000,0.0,,,,,,,,,,,,
,16384,,20,50.0,8,0.11900000000000001,817,,,,,,,
50.0,17000,0.0,,,,,,8,0.00176092759356834,0.19903922080993652,0.001,0.007620592601597309,1.0,0.02477148175239563
50.0,18000,0.0,,,,,,,,,,,,
,18432,,20,50.0,9,0.15100000000000002,919,,,,,,,
50.0,19000,0.0,,,,,,9,0.0020444271896849385,0.17590224742889404,0.001,0.007599737960845232,1.0,0.02533237263560295
50.0,20000,0.0,,,,,,,,,,,,
,20480,,20,49.81,10,0.16200000000000003,1021,,,,,,,
